,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
PI656120,0.840821841,0.220348978,-0.224749087,-0.143572911,-0.022745832,0.131731224,0.55768716,0.362522634,-0.321514929,0.755499943,0.120291581,0.167710669,0.43640364,-0.736116604,-0.562001123,0.098460606,0.025069981,0.981234101
PI533788,0.000925498,-0.447458203,-1.059957228,-0.069352314,-1.002403637,-0.410109354,-0.264738747,-1.355550429,-0.173645557,-0.767412565,-0.342038675,-0.067523733,-1.247075198,-0.762797304,-0.484492261,-0.325880092,-1.341895161,-1.21330317
PI576366,1.266798492,-0.287334556,0.706607233,-0.36282806,-0.108275756,0.216630668,0.500163316,0.453628224,0.132557678,0.016163402,0.250571218,0.604205784,-0.222249432,-0.535071957,0.357079207,0.628838156,-0.003992846,0.285712209
PI533833,0.577632285,-0.550688683,-0.808588035,0.836061552,0.002123981,0.256521997,0.366631923,0.842390029,0.313228819,0.543183647,0.654950479,0.832890018,0.151120302,0.370594232,0.99689527,0.688064881,0.482192058,0.783532136
PI533961,1.697378594,0.585007473,1.614716934,1.094803425,0.551166581,0.648866017,0.961079729,1.175220866,1.045059952,0.518559006,1.218153524,1.688561554,0.697201192,1.41509437,0.913166827,0.644416186,0.637714771,1.701119865
PI533822,-0.136218331,0.101842676,0.244921452,-0.058158733,-0.067556534,0.099574112,0.446096095,-0.615803575,-0.393223305,-0.284589027,-0.043705894,-0.250935844,-0.235243763,0.137677316,0.632565541,0.096855977,0.413968491,1.97383241
PI656021,0.2620535,0.171993005,-0.762783401,0.42165629,-0.41360582,-0.20347599,0.194781666,-0.634285892,-0.154947524,-0.045392296,-0.186872581,-0.25423458,-0.624128249,-1.104156932,-0.092596887,-0.842938626,-1.28809937,1.156879135
PI534105,2.36816273,1.956014811,0.785508421,2.220982826,1.58387989,1.45433059,1.631140889,2.007036601,1.566495105,1.840093702,1.294740618,2.164625322,1.378060844,1.776556648,2.07657151,2.048953604,1.666880126,3.654896121
PI655975,1.951418988,0.677947101,1.242982472,1.148745146,-0.386039639,0.553933124,0.167630677,0.723796427,0.770702602,0.130182285,0.631753275,0.452602465,-0.239302783,-0.869326654,0.039739739,0.551884083,-0.742766994,1.605129797
PI597952,2.56455369,0.642861159,0.469867679,1.278223495,0.590962756,0.678607986,0.84225881,0.271237804,0.933572227,0.687764408,0.914143274,1.207242071,0.681418676,0.929733741,0.442252686,0.736105219,0.033597954,0.848556586
PI597960,0.664267709,0.578880753,1.477979709,0.924085817,0.189045038,0.524457306,0.702029469,0.578508389,0.319692081,0.303818286,0.442046254,-0.023939779,0.066100874,-0.107993652,1.008108091,0.461197047,-0.152821234,1.047948708
PI533750,1.146773923,0.083854871,0.287306239,1.432326973,0.694783645,0.19310017,0.728556223,1.001215654,0.723234746,0.364988953,0.695034837,0.85381371,0.08258981,0.468657506,-0.191291912,0.653758708,0.66748611,0.591060123
PI656110,-0.764445343,-2.110624967,-2.529763494,-1.914912664,-2.404641364,-1.997695208,-1.028314648,-3.262399331,-1.072570457,-2.326401449,-1.378387359,-1.197389847,-3.172177059,-2.411882804,-2.720495907,-2.892845226,-3.519342899,-2.328780144
PI533954,-0.945980082,-1.172866164,-0.584087178,0.772193296,-2.705240456,-0.791413322,-0.397905226,-0.002473101,-0.137637578,-1.419048161,-0.331641753,0.041477748,-0.942983952,-0.227839628,-0.985671997,-0.775371607,-1.488286214,0.739006434
PI533955,0.052636074,-0.069386102,0.35800091,-0.892607586,-0.173343972,-0.010882883,-0.193877158,-0.580777531,-0.4562287,0.292776041,0.037780779,-1.017699554,-0.432292737,0.563752675,-0.031741198,-0.984318176,0.035622652,0.268083733
PI656088,2.036000502,0.643777554,-0.159410552,1.445859023,0.400971767,0.703925794,0.69663862,1.17145419,0.067108156,0.857630756,1.006039704,0.532960772,-0.30153057,0.484399448,0.613676024,0.701152978,0.533608505,0.776291954
PI576332,0.184553951,-0.201816707,0.201080937,0.474296429,0.177031194,-0.102550072,-0.062514623,-0.225270835,-0.470108126,0.193095579,0.32685354,-0.369316588,-1.106489355,0.169910988,-0.071040085,-0.260015273,0.122499015,-1.071426607
PI595718,0.798208652,-0.084188145,0.421055817,1.048049749,-0.487535969,0.093016712,0.351480118,0.572665014,0.07210299,0.092306261,0.346140255,0.07327743,-1.018096394,0.631277333,0.002130316,0.535352349,-0.06769002,-0.416153665
PI534092,0.811692848,-0.096587693,-0.036554607,1.132256138,0.396653583,0.35233992,0.417925218,1.102000009,0.191345679,0.681400815,0.67419705,-0.115040376,-0.523056907,0.616230112,1.146177539,0.705127786,0.631724285,-0.364073676
PI576352,0.334646392,-0.095901282,-0.628840916,-0.984145083,-0.012895097,-0.151740316,-0.04364935,-0.075788661,0.028878621,-0.180137484,-0.080905425,-0.520854372,0.013697751,0.876995278,-0.553616184,-0.221620815,-0.796666653,-1.242261561
PI533799,0.392387033,-0.273472627,-0.271676218,0.102800829,-0.195521817,0.093016712,-0.598596352,-0.153285465,-0.370034778,0.024718736,-0.121393249,-1.435450243,-0.546574465,0.336801719,0.107230911,-0.808522514,0.032564456,-0.131232723
PI595714,1.414883996,-0.063493394,0.267793341,-1.176299772,0.056460965,-0.604176934,0.052491517,0.536697475,0.122032575,0.469694582,0.169102891,-0.853517228,-0.538910184,0.966458191,1.036304169,-1.11274848,0.033120109,-0.46028624
PI533996,0.8771901,-0.112390116,-0.966517097,0.539468054,-0.074195666,-0.296134821,0.176763161,0.503695254,0.598494308,-0.246022531,0.352468278,0.013928351,-0.807020557,-0.190860856,0.053075328,0.127724724,-0.252548044,-0.386056213
PI533948,1.44754959,0.455437999,-0.324745621,0.888941976,0.664588326,0.204934628,0.417925218,0.829397525,0.073828015,0.198121085,0.771696358,-0.234501647,-0.214804473,0.02620222,-0.177157939,-1.440764406,0.303321847,0.359462912
PI656005,1.714701708,-0.442232873,-1.270853455,1.001540367,0.445183796,0.387256185,0.519707912,0.826474591,1.061283664,0.584793773,0.68802246,-0.043475927,-0.377384671,0.7421062,1.054189119,0.867441428,0.157973284,-0.805616183
PI656018,0.524679903,-0.211426603,-2.463007545,0.409793348,-0.094266583,-0.692289186,0.013790439,-0.047618419,0.08387016,-0.3805747,-0.3525539,-0.650618976,-0.343281083,-0.994370631,-1.128189705,-0.722598457,-1.300398363,-1.10102581
PI576373,1.374996892,0.299536434,0.547240575,1.644570984,0.461854904,-0.110582244,1.089410901,1.126560367,1.012473775,0.630910868,0.967572466,0.498558276,0.528747761,1.855557616,-0.226459337,0.271404413,0.52642191,-0.831782985
PI533838,0.768472944,-0.656673547,-0.026784632,0.863912841,0.464171971,-0.177273618,-0.086931707,0.517440738,0.845888991,-0.111839728,0.183123975,-0.18371154,-0.722363059,0.373046412,-0.336420193,-0.611585148,0.147596707,-0.94804737
PI533754,1.30228387,-0.138717709,-0.341280896,1.053209614,0.415874373,0.38234217,0.417925218,0.489076868,0.018361135,0.981251408,0.711361783,-0.07922738,-0.716660601,0.836761317,0.533818663,0.374305407,0.805487214,-0.830683194
PI534053,1.394211118,0.610743411,-0.870341136,1.472525864,0.676926365,0.305578154,0.764549826,0.866431716,0.339303327,0.048530212,0.723909877,1.021740757,0.528267143,1.645448136,-0.883727662,-0.537452706,-0.156533583,-1.301854412
PI656007,0.45945905,-1.069037566,-1.274149455,0.750187288,0.262507764,-0.28647291,0.212481243,0.302254128,0.634745932,-0.014135492,0.293290502,0.229806228,-1.139142168,-1.003151934,-0.151392435,-0.774232062,-0.364335766,-3.666258079
PI656030,0.910332818,-0.437284109,-0.290670892,0.763167378,0.446615932,-0.033024009,-0.067689229,0.368379544,-0.159516283,0.189930023,0.526268337,-0.64077363,-0.700763624,0.137459057,-0.102990312,-0.43523325,0.487301613,-2.402935337
PI656085,1.123885937,0.702570717,-0.205296649,1.68281793,-0.202423393,0.204934628,0.804158964,1.076565453,0.26720049,0.393711949,0.876299752,1.017988453,-0.374332035,0.89319745,0.147039096,-0.185527139,-0.625822194,0.077197758
PI656042,0.404815755,-0.846399987,-2.655217792,-0.284531216,-0.694602095,-0.78261346,-0.790266043,-0.486038845,-0.670052935,-0.96304896,-0.549960589,-0.652270955,-2.423182778,-0.358162869,-0.464756473,-0.479493343,-1.137580276,-2.649662622
PI533957,1.162258696,-0.624738412,-0.97686663,1.070733107,-0.452566522,0.401854984,0.167630677,0.597099457,0.575913543,0.231803122,0.493593332,0.549498131,-1.172198359,0.928846677,0.373480987,-0.467472365,-0.12698827,-0.7879162
PI534117,1.989231625,0.003404498,-1.091987448,0.543893032,-0.068024423,0.204934628,0.55768716,0.099425121,1.516800991,0.440715531,0.612450175,0.199754384,-0.581494819,1.53272265,1.030648662,1.187961865,-0.095477276,-1.097515413
PI329440,1.179515709,0.451138469,-0.268326788,-0.106451072,-0.897989536,0.169002619,0.328313059,0.483599103,0.817786537,-0.160130471,0.96198578,0.705339648,-0.89516166,1.130625866,0.144898725,0.20820413,-0.682071793,-1.093740135
PI597980,0.450851348,0.196575303,-2.02628716,0.476079136,-0.180228402,-0.305890996,-0.356780855,0.195287225,-0.452157579,-0.240387289,0.248073445,-0.303339406,-0.970097503,1.084361064,-0.44254378,-0.213390176,-0.281224553,-1.227677715
PI595699,1.221308424,0.221363774,-0.807998169,0.959074078,-0.649972501,0.156732526,0.545186997,0.258138312,0.020646688,0.058795752,0.217137957,-0.014416621,-0.653003852,0.630836129,-0.051117709,-0.214765916,-0.310093342,-2.418789053
PI597957,-0.942229164,-3.785510361,-2.718067067,-1.531539615,-1.390097578,-1.466281634,-1.298317308,-1.952924332,-0.525332207,-1.380272514,-1.916886561,-1.356440063,-1.034073657,-0.625515918,-1.04896606,-1.193210466,-1.651192303,-4.071723187
PI656076,0.021898434,-0.725415519,-1.628904029,0.352015741,-0.42748187,-0.346164836,-0.752584373,-0.169021181,0.173507611,0.188175579,0.167556498,-0.403762066,-1.209230786,0.298116654,-0.324064772,-0.741476839,0.240766595,-2.416508589
PI533794,-0.092049193,-0.22050663,-2.629138975,-0.170063776,-1.389651046,-1.04965626,-0.46038948,-1.470178491,0.45191915,-1.029776834,-0.443115819,-0.142257352,-1.348884578,-0.93584909,-2.390096376,-0.418107568,-2.103456991,-1.932651322
PI597958,-0.245579905,-1.180259675,-1.563533911,-1.187064877,-0.871022116,-1.155380832,-0.595653148,-0.586338516,0.202447629,-0.940848792,-1.292398379,-0.528531341,-1.2630286,0.479580092,-0.735192081,-0.827048459,-0.947028741,-4.071723187
PI533841,-1.092198008,-1.123416077,-2.182358953,-0.596898526,-1.518826204,-1.197494567,-0.709832856,-2.540751256,-0.365236599,-1.126066228,-0.886450742,-0.787307554,-2.687260888,-0.95918364,-1.51309034,-0.451891692,-1.895928807,-3.458624594
PI576376,0.282619847,0.075741392,-1.639859205,0.517305436,-0.151938847,-0.212364938,0.388937681,-0.14129543,0.368698472,-1.64904366,-0.003068155,-0.177157516,-0.764675459,-0.576271756,-0.598138444,-0.311486062,-0.364142991,-4.071723187
PI576387,-0.079246355,-0.61979932,-2.570301065,-0.501772059,-2.257626568,-1.071206568,-1.382822727,-3.058519972,-1.176469699,-1.570327631,-1.297844329,-1.652941917,-1.272641438,-1.433600478,-2.433765645,-1.130835269,-2.90888405,-2.556696879
PI655990,0.373717846,-0.277537515,-0.632952285,-1.116087112,-0.769647471,-0.473079287,-0.243903614,0.155944057,0.538701338,-0.26043278,0.159710475,-0.288516163,-1.289707798,-0.23480808,0.020603671,-0.480697615,-0.439539984,-2.324905264
PI533882,-0.317986605,-0.833687954,-1.191366,-0.82918212,-0.75161025,-0.854386843,-0.764951795,-0.943080224,-0.238610797,-0.886398745,-0.497328003,-0.436002939,-1.844583791,-0.410175118,-0.619002056,-1.442383517,-1.227238999,-4.071723187
PI533976,-0.602455264,-0.446866818,-2.089385798,-0.223397737,-0.741819211,-0.944479064,-0.979528261,-1.373935014,0.330156612,-0.654245629,-0.721102467,-0.754115819,-1.156545155,-0.446081774,-0.866330409,-0.84335212,-0.279354545,-4.071723187
PI642793,0.366083988,0.084918082,-1.195014017,0.554857492,-0.791539543,0.079771485,-0.016578458,-0.197194667,-0.02443528,-0.073811845,-0.105458379,-0.124146167,-0.458737259,0.501243634,-0.706108421,-0.857546678,-0.291877303,-4.071723187
PI597967,-0.198390026,-1.823238576,-1.756456147,0.31977966,-0.437493103,-0.28647291,-0.157839769,-2.08345069,-0.357557148,-0.721612019,-0.594826513,-0.515248631,-1.462414669,0.212499555,-0.608681968,-0.243142788,-1.637531047,-4.071723187
PI540816,0.093489285,-2.321536705,-3.213069916,-0.032159214,-1.371225351,-1.215656057,-0.730830951,-1.416676865,-0.954954799,-1.41573506,-1.203926038,-0.489018329,-1.211026173,-1.504759701,-2.284380821,-1.492220827,-1.97459938,-4.071723187
PI533937,0.147576319,-2.842941113,-2.928804874,0.286869332,-1.994450558,-0.94720149,-0.635234102,-1.48520231,-0.279083833,-1.058766215,-0.492108162,-0.560859061,-2.560214227,-1.176846671,-0.555314633,-1.369726828,-1.339539831,-4.071723187
PI576381,0.707852669,-0.357046897,-2.58004561,0.04861927,-0.879140831,-0.71569809,-0.094305261,-1.492792664,0.267028649,-0.69163634,-0.521128793,-0.225924728,-1.167183461,-0.557229821,-2.51539955,-1.066022292,-1.643513656,-4.071723187
PI533810,0.861101445,-1.847889732,-2.73998819,-0.196490194,-1.827143726,-0.944014725,-0.245299981,-0.170013451,-0.099481325,-0.651237692,-1.046358696,-0.320334923,-1.961482163,-0.706197311,-0.831824941,-0.75866122,-1.168100547,-4.071723187
PI576339,-0.206567099,-0.520582475,-1.625314948,-1.272040687,-0.684332878,-0.221333608,-0.995385389,-1.4827911,-0.205107812,-0.801232016,-0.719911054,-1.437316519,-0.366924622,-0.441470113,-0.627948858,-1.122316008,-0.299694945,-2.547485743
PI533987,-0.411695471,-0.850917656,-1.722649817,0.201027056,-0.856032986,-0.467150396,-0.703473799,-0.634423247,0.010409754,-0.622596335,-0.502926948,-1.013927183,-1.830755283,0.631900708,-0.873504671,-1.372245584,-0.43871853,-2.48962742
PI597966,1.457386779,-0.530718256,-2.660837313,-0.886465616,-2.055678662,-1.02623457,-0.53706532,-1.998225159,-0.341437062,-1.280752405,-1.90236305,-1.210142314,-1.213981326,-0.684440797,-2.073118623,-0.743644999,-2.313865647,-4.071723187
PI533852,-0.530235662,-0.322740393,-1.783905102,0.478329067,-0.80268181,-0.160179185,0.001948737,0.148613563,0.428708509,0.026326178,-0.390490463,-0.342394239,-1.08032387,0.821174446,-0.246817928,-0.751411968,-0.633215513,-3.220330883
PI629034,-1.188247956,-0.98857764,-2.387832595,-0.925038571,-0.531294391,-0.929927129,-1.133311511,-1.61290329,-0.407301072,-1.231656712,-1.554367572,-1.458985253,-1.867616684,0.05942993,-0.6347313,-0.5622843,-0.859198376,-4.071723187
PI533821,-0.898348203,-0.43447327,-2.545983407,0.194656189,-1.062990596,-0.830060566,-0.367480432,-1.220317293,0.504709258,-1.678902765,-0.427139278,-0.038923516,-0.526513002,-0.191200164,-1.73420355,-0.697816516,-1.919593486,1.417048075
PI656100,0.524626681,-0.315529029,-1.622480645,1.450147343,-0.88134905,-0.185931681,1.166642249,0.413473278,1.155228752,-0.798270413,-0.090552129,0.708226478,-0.610932634,-0.619277971,-0.50796959,-0.590645036,-0.820727142,1.026939592
PI533814,-1.0013882,-2.154014519,-1.318888128,0.11609075,-0.119441919,-1.094292848,-0.94946622,-1.881514177,-0.019692325,-1.262669296,-0.266056352,-0.367402663,-1.284544519,-0.753560963,-0.751360581,-1.199969561,-0.157439115,-4.071723187
PI533986,-1.121212305,-0.424883052,-1.840567686,-0.687387532,0.005954425,-0.544701364,-0.900806361,-0.230774214,0.832836034,-0.847330835,-0.48156796,-0.159653385,-0.907157069,-0.349041949,-0.72220194,-0.394964651,-1.077439023,-3.308336589
PI655993,-1.124584728,-3.457239721,-1.946154789,-0.33811025,-1.004074242,-0.758911347,-1.302460616,-2.185033222,-0.780814021,-0.489821571,-0.822526099,-1.426013308,-1.357701504,-0.472010792,-0.490977219,-0.816678371,-1.386013678,-1.498659845
PI656116,-0.101411765,-0.239290163,-1.996394197,0.502679278,-0.100804271,-0.230383443,0.139721889,-0.350421381,0.203889287,-0.205857127,-0.262814971,-0.105608452,-0.239848607,0.933345131,-0.449982325,-1.01805104,-1.024298444,-1.592961502
PI534132,1.004396747,0.238645339,-1.289571652,-0.637231413,-0.687197817,-0.143372066,0.40353648,0.824168751,0.760641533,-0.275431723,0.635629135,0.673442556,-0.513284989,-0.476653802,-0.229459354,0.527265657,-0.528228307,-1.16906663
PI656053,0.335268027,0.451674237,-0.849076512,1.611173233,0.751099665,0.742459458,0.446096095,0.743333417,0.768025804,0.519190627,-0.036977331,-0.051779925,-0.189107927,0.221653737,0.744761101,0.163437545,0.813810437,-0.533305328
PI534115,-0.200251089,-0.834298129,-2.243335354,0.350437867,-0.216350397,-0.571054985,-0.273027159,0.193923606,0.172191574,-0.407460595,-0.041126343,-0.300501495,-1.089948826,0.063197192,-0.524896761,-0.564255186,-0.546624771,-1.767226929
PI576364,0.156768471,0.149147117,-0.205662935,1.33557144,0.930810064,0.416243722,0.022874053,0.897433599,0.7063976,0.816022214,0.550188593,-0.223437666,-0.545772427,0.711492977,1.143412018,0.256091437,1.272341962,0.002231681
PI533911,-1.906776221,-0.666931082,0.215508989,1.629958682,-0.327725301,-0.631035516,0.255406288,0.017810042,0.360448418,-0.337860097,0.089663213,-0.030658983,-1.341333389,-0.814237685,-0.620045943,-0.986032533,-0.634149729,-2.128747577
PI655998,-0.88697707,-0.223356632,0.056166589,1.197479384,-0.354493594,-0.102550072,0.033149528,-0.007456668,0.514903587,0.045847928,0.103014185,-0.327080138,-0.630004935,-0.037886956,0.456903088,-0.192625525,-0.313603796,-0.975659607
PI656108,-0.04432017,-1.175770248,-1.801157025,-0.980184984,-0.349024564,-0.185931681,0.025032565,0.054659645,0.255630911,-0.095926969,-0.15218361,-0.513904344,-1.085002248,0.695889288,0.438959377,-0.232894633,-0.524961455,-2.403133497
PI533949,0.220814805,-1.509246712,-2.457903516,0.427435813,-1.100610444,-0.980350068,-0.01729169,-0.189179763,0.152288687,-0.875766584,-0.134600528,-0.177766656,-1.534135536,-0.204961168,-0.534613723,-0.333796702,-0.944696597,-3.380280291
PI533876,1.553844144,-0.453347082,0.199945826,1.413797292,0.35408652,0.524457306,0.263774538,0.960637779,0.189647426,0.495128233,0.027376986,0.045721928,-0.512883818,2.047426254,1.011079183,0.091371326,0.849306496,-0.270303624
PI656112,0.090070806,-0.664368132,-1.300861615,0.087110584,-0.427379993,-0.248732582,-0.254980986,-0.428989464,0.49409121,-0.516418628,0.066311627,-0.476022835,-1.332820676,0.004664287,-0.540582457,-0.149653719,-0.794544471,-1.632404513
PI656058,0.237501388,-0.28601057,-0.596327254,-0.536602238,-0.524559811,-0.403573979,-0.456209981,0.290192176,0.011992987,-0.311548654,0.034503595,-0.6948866,-1.094599172,0.308562153,-0.286841856,-1.014316278,-0.248352823,-0.578702101
PI533910,0.801257094,-0.037176581,-2.047168318,0.773155543,0.35921625,-0.177273618,0.043866787,0.173079185,0.53970161,0.108690208,0.344319386,-0.146625176,-0.655932558,0.791800506,-0.097932276,-0.037746399,0.533378322,-0.174476156
PI595743,0.763759563,0.36840032,-2.151394661,0.763463214,0.059955276,0.187130003,0.111011783,-0.106991214,0.54226066,0.396693427,0.541845924,-0.589227396,-0.570324867,0.742671725,-0.057738887,-0.324746698,-0.019841682,-0.558859715
PI656020,1.502107717,-0.027302766,-0.459017515,0.819116424,-0.268188348,0.118992198,0.733778167,0.496225746,0.595704405,0.456818462,0.333364322,0.102431,-0.045235249,-0.378085902,-0.584019305,-0.089240767,-0.284795018,-2.091628196
PI533985,-0.22178535,-0.807940568,-2.324916598,0.005570868,-1.376047519,-1.196524134,-0.789843592,-1.214158164,-0.217720513,-1.133162249,-1.411060152,-0.360133773,-1.190634814,0.130631896,-0.665471602,-0.879923769,-1.97051266,-1.516178903
PI629059,-0.081210201,-1.93861457,-2.469705424,-0.540590756,-0.840070306,-0.820922839,-0.479423464,-0.920619979,-0.313924254,-0.926836041,-0.720796063,-0.705737764,-0.523043855,-0.710173015,-1.476079636,-1.289070089,-1.873616291,-1.700989429
PI656019,0.564464057,-0.255627482,-2.424705441,0.507658433,-1.010370872,-0.529979969,-0.541627145,-1.049424446,-0.090870508,-1.022529387,-0.464400951,-0.541067309,-0.868146679,-0.637927587,-1.138521713,-0.523190507,-0.884394026,-3.602537037
PI655985,-1.036298361,-1.748785826,-1.160684943,-1.886849966,-1.269292156,-0.941825412,-1.047409877,-2.27050063,-0.901752331,-1.129864802,-1.524500947,-1.481584147,-0.996127053,-2.058974061,-2.443848142,-1.11965446,-1.62294545,-0.850730965
PI656004,0.455126062,-0.258905981,0.286538599,-0.758208173,-0.437187959,0.066348465,0.312564702,-0.510543377,-0.067204036,-0.103755125,-0.439558042,-0.109803044,-0.155383297,-1.296090432,-0.500059143,0.119420356,-0.293575108,-0.61194037
PI656055,0.183248469,0.626801119,0.769122716,0.052502991,0.25296695,0.776246456,-0.566939309,0.582476762,-0.361568649,0.322626389,0.799845944,0.833418753,0.724929655,1.272418427,0.115390209,0.50102936,0.02048516,1.560537435
PI534097,-1.423280429,-0.538252738,-1.065383846,-2.959000034,-0.771097276,-0.912983082,-1.403490247,-1.104770791,-1.412337802,-0.591046174,-0.8564137,-1.017543463,-0.970824281,-1.503959337,-1.364443913,-0.450836541,-0.444447574,-0.844637354
PI576422,0.854211601,0.50890998,-0.101387023,0.758414891,-0.589620334,0.162886392,0.759486524,-0.145380627,-0.224338918,-0.560478401,0.283680299,0.64711966,-0.20297099,0.684669082,-2.177702681,-0.260693666,-0.797541085,-1.000183273
PI629040,0.473009479,-0.077275082,2.508803517,-0.408566179,0.338360188,0.245285923,0.425042685,0.44949757,-0.263518153,0.213957733,0.562750278,0.312809571,-0.83270878,0.434687283,-0.055902758,-0.114377722,0.007568398,0.124850145
PI534112,0.165410326,0.069520436,1.596399591,-0.735668509,0.046888481,-0.040514681,-0.061449036,-0.291933758,-0.626962565,0.155348025,0.034837397,-0.435964144,-0.440382723,-1.819301081,-0.079332246,0.12538193,0.384324214,-0.990865646
PI533758,1.344494618,-0.121602991,0.908206286,0.375811941,0.666488225,0.416243722,0.328313059,0.436652293,-0.29887797,0.62382905,0.366896703,0.649224051,-0.055420383,0.546010108,-0.372122464,0.102384159,1.244406171,-0.019735213
PI656087,0.618579638,0.155180089,-0.122673611,-0.186138387,0.056271993,0.387256185,0.296564361,0.329525353,-0.375989305,-0.087845497,0.160584726,0.211059041,-0.062245506,0.71728692,-0.794500654,0.136753867,-0.391486466,1.20528502
PI533757,-0.124110473,-0.347535963,1.150419312,0.501609029,0.242515322,0.250919741,-0.660046874,0.403108908,0.256373684,0.143768315,0.755373324,0.977741473,-0.167406778,0.780488521,0.461054842,0.317161836,0.308363615,-0.629702699
PI533856,-0.447995268,0.284490708,2.236390544,0.79146052,0.593397536,0.582564937,0.473495069,0.812785358,0.141316849,0.654037972,0.723800107,0.437178137,0.252410709,0.501090784,0.709214805,-0.056449839,0.617865373,1.999427536
PI656002,0.906582771,0.1410089,1.265416407,-1.380486755,0.006958356,0.467298892,-0.430473582,0.041146113,-0.66427979,0.396209109,0.274679653,-0.186241651,-0.184221144,0.185611537,0.338786237,-0.411307127,-0.232772096,1.908300009
