,A,B,C,D,E,F,G,H,I,J,K,L,M
PI642791,-0.692363528,-0.081484303,-0.653491873,-0.813039102,0.591395088,-0.216803553,-0.644971109,0.231117691,0.117362932,-0.27879939,-0.818626059,-0.615266092,-1.638044155
PI533877,-1.880740777,-2.301635818,-1.558859824,-0.385805149,-0.459599644,-0.999298265,-0.768774799,-2.091701548,-0.860102468,0.372101426,-0.424707291,-0.780561604,-1.629477573
PI655987,-0.834723408,0.419934002,-0.325870118,-0.817157211,-0.2661865,-0.766261136,-1.199535629,-0.640591608,0.883635833,-0.74018141,-0.447371097,-1.453655405,-1.84178512
PI576437,-1.231642411,-0.946607536,-2.111224239,-2.338464836,-1.724262553,-1.231141696,-2.328471337,-1.190024972,0.247726392,-1.474681294,-4.048163995,-2.558230491,-2.850874735
PI576373,-0.25743572,-0.99751214,0.062494971,-0.479872987,-0.359511369,0.0724129,-0.24304179,-0.456434609,0.248124214,0.760948051,0.245402422,1.035498094,0.520785775
PI597964,0.227286559,0.336328158,0.123882249,-0.583524197,-0.13998476,0.599664633,0.116182087,0.493042731,0.4104472,1.153139064,-0.384703555,0.858573396,0.480898569
PI533985,-0.567706086,0.394811996,0.775284374,-0.380128456,-0.517289401,0.042654717,-0.082296892,0.186719904,1.003110538,-0.889882009,0.010728674,-0.547347235,-1.546919979
PI276837,-0.692990066,0.488955795,0.088529198,-0.862100433,0.500443249,-0.046444889,-0.603521577,-0.057931494,0.362771191,-0.973236115,-0.525332877,-1.308861871,-1.648687859
PI656097,-0.870260183,0.040260939,-0.090244337,-0.275643449,-0.334593278,0.133758792,-0.035809356,0.357955221,0.462731445,-0.580576383,-0.71333,-1.057956391,-1.073925179
PI534145,0.441371505,0.783527512,-0.605100894,-0.631033694,0.800148051,-0.242166382,-0.063964142,0.188633671,0.161302581,0.257912978,-0.202537741,-0.910494472,-1.501289564
PI533833,-0.410554744,-0.160657681,0.745187039,-0.049078718,-0.17167323,-0.129188178,0.039938104,-0.141443303,1.054507057,-0.417240746,-0.31976745,-0.743966319,-1.577749724
PI534028,-0.420160742,-0.330276743,0.870159616,-0.744429449,0.129795483,-0.467499938,-0.307013083,-1.090670653,0.526930966,1.294543941,0.604357769,-0.424200826,0.24727416
PI597946,-1.689563954,-0.731299684,-3.329855562,-0.94058342,-1.530019978,-0.975873155,-1.701870586,-0.827887848,0.856091404,-0.51629703,-1.159459312,-2.23617342,-1.557179236
PI533987,-0.563436678,0.484425688,1.382168279,-0.903724464,0.190576054,0.678186043,-0.244545557,0.482920862,1.050099734,1.347637224,0.920867339,1.549395693,0.712081477
PI656087,-0.379819075,-0.00820933,0.733618712,0.59604338,-0.042443179,-0.418847506,-0.720954566,-0.77206868,0.248736715,1.162238874,0.092252662,-1.482799272,0.36072465
PI534046,-1.484401694,-1.126034995,-2.21777265,-1.586508614,-1.330550655,-0.669467009,-1.166888062,-0.787173678,0.74284806,0.986368455,-3.561571397,-0.960234865,-2.447834787
PI533830,-0.543897139,0.040781295,1.44972978,-0.328538244,-0.935565948,0.067662783,0.095514369,-0.236964307,-0.266059622,-1.435642367,-0.510729543,0.077846767,-1.036812631
PI597971,-0.554797343,0.097553449,0.74754662,0.088627528,-1.472819641,0.443141137,-0.158283602,0.37898344,0.370718506,1.368913751,-1.023150713,-0.667113601,-1.016002573
PI656041,-1.028207027,0.44500596,-0.983079078,-1.083733234,-0.294252173,-0.211400262,-0.400123322,-0.292500573,0.419775061,-0.788590565,-1.418763697,-1.229850745,-0.96555129
PI576387,-1.35334937,0.182063435,0.625792154,0.575330743,-1.041001982,-0.633199193,-0.774166198,-1.855739939,-0.658962864,0.637900895,0.770497347,0.232181806,0.20887405
PI534124,-0.213904544,-0.048552347,0.522906903,-0.388512954,-0.644444512,-0.606870521,-0.515745622,-0.996815025,-0.852429327,-0.345407457,-0.963818026,-0.333285938,-1.666079023
PI597966,0.126539315,-0.244832468,-1.773661426,-0.678719382,0.094292334,-0.514085345,-1.720290382,-0.86258547,0.903852016,1.673102223,-1.092100124,-1.42917178,-1.759805829
PI533912,0.3850606,0.981423177,0.092894255,0.229366203,0.533733164,0.337499516,0.339247166,0.373566758,0.231510808,0.836507403,-0.4809252,-0.077004016,-0.602024941
PI656111,0.584906047,0.075279867,0.118393054,-0.354118097,0.206488301,0.016304979,-0.719657082,-0.68333438,-0.166011909,-0.275334735,-0.304818945,-0.404548514,-1.320231722
PI576333,0.517556791,0.63906671,0.321868853,-1.071583621,0.233107081,0.37775938,0.043818695,-0.320842507,-0.896513041,0.200086958,0.144009272,-0.724292776,0.165091544
PI656056,0.217216272,0.479793546,1.038083146,-0.327403282,0.376602912,0.074372353,-0.013004087,-0.261852308,-0.650471948,-0.487962296,0.074591203,0.521708804,-0.751516523
PI534112,0.050269679,0.826766063,-0.495543126,0.292869916,0.83961303,0.457168066,0.608852048,0.784922849,-0.463993002,0.752315346,0.320183867,0.361588449,-0.052149894
PI576428,0.163272728,-0.154160171,-0.725630994,-0.301597226,-1.649870037,-0.689059526,-1.439706864,-1.321019328,-0.572113853,-0.649068015,-0.854951662,-0.827183822,-1.309015997
PI533919,0.701484693,0.549892984,-1.072284993,-0.199808892,-0.804636925,-0.157170654,-0.073006705,0.647708214,0.130027352,1.785857233,-0.971886151,-0.869828448,-0.655801195
PI659695,0.147119693,1.187997363,-0.177502919,-0.510292606,0.843940991,-0.201203933,0.175808234,0.506913888,-1.100888328,0.885998044,-0.422928003,0.410956521,-1.531982631
PI656047,-1.518394928,0.60593883,-1.152221151,-0.715526395,0.834945406,0.559032896,0.505277467,0.168615338,0.243401229,1.421501352,-0.176700248,-0.453292284,-0.540247641
PI601816,1.031316376,0.057911787,0.196416512,0.627265644,-0.328394867,0.181431703,-0.162065416,-0.150249019,-0.694312032,-1.388276894,-0.430874857,-1.003395901,-1.589401768
PI576399,0.866561269,-0.363480746,0.496203353,-1.162219618,-1.373912026,-0.57139422,-0.747175967,-1.399176089,0.06578394,-0.37430929,-0.618116939,-0.832163923,-2.309581242
PI552861,-0.901933049,0.227275732,-1.158839988,0.221217681,0.264201292,-0.526072245,-0.340322397,-0.572580891,-0.123539646,0.14213478,-0.577138322,-1.385016139,-0.779437777
PI576332,-1.756784153,-0.308963702,-1.609263994,-0.049873031,-1.207516879,-0.947226256,-0.617644398,-1.456204493,-1.426303528,-0.766325452,-0.803239879,-0.955468769,-1.307140042
PI561072,1.220297284,0.279888161,-0.224591039,-1.041633387,0.671236944,-0.074333272,0.043492237,0.003760835,-0.393642038,-1.246561524,-0.265139242,0.461034405,0.049017165
PI534009,0.279738594,0.607149758,-0.012090219,0.440993926,0.73669536,0.219380408,0.583038245,0.698509304,1.255518738,-0.616009549,0.434363103,0.706496379,0.540568798
PI534157,-0.349909712,0.043550378,-1.244577489,-0.651231533,-0.019285139,-0.233530644,0.232512205,0,-0.537661125,-0.042231329,-0.573242909,-0.448803558,-0.922076495
PI656061,1.191476502,0.455609252,0.371953148,-0.168791758,-0.277701197,0.210818972,0.21040447,0.510272423,-0.095376044,0.861722742,0.783433878,0.412816159,-1.014585031
PI534132,0.166684678,1.760677344,0.4216009,-0.362785929,-0.007198288,1.012423458,0.735544521,1.172543672,0.920812564,2.195907559,-0.032752435,0.833381449,0.158380688
PI552856,0.817482626,0.184111462,0.340085677,0.15558686,-0.624044666,-0.049402223,-0.557367656,0.0820765,2.367846588,1.979219358,-0.704940554,-0.650021752,-1.037214707
PI533761,-0.005128961,1.648718285,0.135331034,0.72855762,0.843649603,0.720461552,0.337331207,0.501571499,0.980818062,1.052655018,0.940858048,1.431770478,0.935795468
PI597957,-0.894533568,0.44751991,0.885438965,-0.500740433,-0.519917613,-0.169005436,0.534897372,-0.123111548,0.897572251,0.102262576,0.361671953,0.61892771,0.367959671
PI656032,1.044288262,1.21613345,0.705847745,0.360753894,0.223908979,0.875752128,0.163815525,0.703691363,0.114962575,0.124539475,0.752853687,1.604631469,0.686856608
PI656030,-0.746936534,1.519738618,-0.310436227,0.351437298,0.165948687,0.328874633,0.618993667,1.094077423,0.45670243,1.086218328,0.078722501,0.850429144,0.468542935
PI576418,0.639987909,0.523677389,0.562237487,-0.093710318,1.066364814,0.700248656,0.632664943,1.059402347,-0.245702235,0.389286047,0.276749345,0.73023149,0.342909251
PI656103,-0.754619884,1.023064755,0.853214471,0.135976253,-0.329313749,0.596809763,0.624185235,0.63446318,0.329292612,1.856719331,1.469958244,2.539613753,0.908519447
PI533831,1.126044986,0.270101546,0.569982044,0.114763937,0.368367782,0.26308758,0.168196513,0.017732327,-0.315915289,0.795500682,0.41845852,0.352901507,0.506482973
PI576349,-1.26341391,-0.445856384,-1.611360343,-0.637059808,-0.880308941,-0.364324527,-0.788352961,-0.520800571,2.432539616,1.805207458,-1.23997836,-0.409718518,0
PI642793,0.70874345,0.120140176,-0.336721677,0.014379398,-1.211678562,-0.163549679,0.576632522,0.718158244,0.790448369,0.551283984,0.533719358,0.412277245,0.204259109
PI540816,0.082156826,-0.807333505,0.552485077,0.477689458,-0.423030843,0.277654783,0.440947081,-1.058223445,-1.151428458,1.606494442,1.1556242,1.528988229,0.773729321
PI655980,1.54777596,0.114869767,0.737059962,-0.082702508,-0.587222053,0.256237246,0.247311958,-0.604159201,-1.103771886,1.614455467,1.179093354,1.036680372,0.921934999
PI656078,-0.341866675,0.942369216,-1.385713825,-0.480923922,0.603185993,-0.092038991,0.395677681,-0.27281009,0.190729008,-0.110828275,0.33651193,1.78006329,-0.089717113
PI597952,0.543208114,-0.241724508,0.559520713,1.511046163,-0.212969018,0.42531185,0.697672993,-0.740713663,-0.052770474,2.411260669,1.846938759,2.015972604,2.074081264
PI533869,0.517718706,0.290820506,1.254353385,-0.78896911,-0.714017484,0.204921856,-0.005143766,-0.386728471,0.039889692,-0.136823811,0.428099862,0.705080978,0.443986147
PI656018,-1.167451676,-0.757605333,-1.128072685,-1.049568628,0.265341839,-0.342368081,0.182318403,-0.747330837,-1.177006372,-0.893951478,-1.881484739,0.405592585,-0.038467543
PI534138,1.460333602,1.052029273,0.731850393,0.997474153,0.783739335,1.136495191,0.436311312,0.476801916,-0.711187091,1.868794844,1.102626137,1.895388396,0.482062991
PI534079,-0.25441583,-0.295391963,-0.159652367,-0.746078951,-0.484527641,0.128253637,-0.227991404,-0.331888464,1.102786049,0.039749266,-0.418072225,-0.099468723,0.25168999
PI17548,-0.603795175,0.038415433,0.144169136,-0.55895805,0.456919828,0.211276259,-0.139763716,-0.480212804,1.12548062,-0.142950621,0.14415356,1.151831672,-0.615018188
PI533766,-0.136763028,0.457086861,0.646093058,0.123841853,-0.109769136,0.349098571,0.523077467,-0.57997702,0.088078014,2.16833352,1.189501853,2.19670608,1.772076544
PI533913,0.53334745,-0.149155623,0.247648991,0.907521636,0.258754082,-0.285187652,0.016399512,-0.702390074,-0.42090775,-0.16803312,0.509255404,-0.020637044,0.767576049
PI656059,0.820988881,0.405315302,0.536332257,0.793219574,0.104549726,0.439821096,0.78787356,0.640487983,-0.181818968,2.005973527,0.907934537,2.311305633,1.431582329
PI656081,1.613493004,-0.152660511,1.554684648,0.535645017,0.526306348,0.187034681,0.538990126,-0.123130624,1.228981068,2.352703224,1.840881462,1.261150209,1.659789338
PI656064,0.978372286,0.536920682,0.573490703,0.854545205,0.705119917,0.303598675,0.20163317,-0.215314942,1.230982697,1.724358812,0.734985764,1.616162729,1.214259663
PI533878,0.432495996,0.752654903,0.430728772,-0.310208918,0.06545796,0.21640497,0.299188451,-0.184056286,-0.487933797,1.747057466,1.148020487,1.740280278,1.27066309
PI576340,1.675593697,1.372814011,0.724605393,0.490777983,0.837340591,0.882608066,0.714410794,0.995117224,0.198981713,0.569798002,1.622483156,2.420361817,1.159970243
PI656065,0.463741761,0.937822707,0.404027492,1.524143612,1.059555042,0.464575074,0.584255145,0.635663348,1.396832771,1.608148742,-0.204740423,0.245969537,0.745573815
PI656000,-0.478096986,0.932861083,-0.039185347,0.055867109,-0.623934176,0.730122699,0.603250279,0.886346135,0.724102061,1.164931056,-0.331723425,1.295315125,0.88042381
PI534163,0.20764063,-0.268947867,-1.063655472,-0.256862808,0.199096144,0.035845359,0.432576576,-0.143651013,-0.730742249,-0.745414174,0.027517392,0.664030902,0.485122058
PI607931,-0.02107693,0.246608063,0.313501687,0.835917044,-0.167044029,-0.012730594,0.39587465,0.494781903,0.413820596,0.391941202,-0.260184621,-0.320244172,-0.715014574
PI595741,-1.005602155,1.096953193,0.098465904,0.149470964,1.011943163,0.741457232,0.676693069,0.553348076,-0.308772132,0.799188687,-0.108200133,0.208641732,-0.101964629
PI566819,0.508845436,0.911853328,-0.490051684,0.227947307,0.975604793,-0.043979944,1.103207612,0.543766325,0.308784581,-0.815419333,-0.01642734,0.510041682,0.189879699
PI595699,-0.421161124,-0.79119102,-0.694537315,0.272940828,-0.137607053,-0.202034255,-0.083707327,-0.066269953,0.448184565,1.241442996,0.214955972,0.771773209,0.472949001
PI655972,0.227315596,1.676935473,-0.157437677,0.162512937,0.939863258,0.969245411,1.311556538,1.11658241,0.42041538,0.618430618,1.310699959,2.090470972,1.222827001
PI655995,-1.422508763,0.305663702,-2.068854802,-0.561009066,-0.245924324,0.083708372,0.346361351,-0.180330335,-0.088705677,0.633141973,1.227185651,2.171962942,0.182961721
PI656091,-1.043630227,0.628785293,-1.255779721,-1.060113943,-0.193384034,-0.429543144,-0.368558899,0.183146873,-0.355845256,-0.854042151,-0.970638265,-0.216271431,-1.204702666
PI576339,-0.397751165,1.089047685,0.065478233,0.216238643,0.362349631,-0.125789313,0.76595736,0.410892514,-0.669274285,0.487304835,0.859958073,0.346687917,0.406766176
PI533938,0.347864575,2.380380703,-0.000371522,1.916667176,0.586845397,1.205714336,1.398987663,1.565451092,0.438890618,0.841078448,0.637190527,2.234738277,0.595850794
PI533937,-0.597607005,-0.142800832,-1.789221633,0.870299306,0.099461138,0.250621114,0.821947245,0.067772042,-0.616665943,0.354357912,0.339747546,1.344737304,0.982209706
PI655992,-0.027927869,0.463793427,-0.675961637,0.130691941,0.005967779,0.071510571,0.390874669,0.553344119,-0.159729416,-0.526946787,-0.267510434,0.967749997,-0.544804924
PI655985,0,0.248359118,-0.959274399,-0.168097412,0.114788578,-0.173937276,-0.378769573,0.31502255,-0.023695883,-0.133443784,-0.298741277,0.823658686,0.302046171
PI656040,0.849290217,-0.180353417,-1.156940851,0.779801182,-0.405199451,-0.545533952,0.083020144,-0.611056974,-0.176347388,0,-0.294552124,-0.026656253,-0.000313843
PI534144,0.249091546,0.377626516,0.836735394,0.095983977,0.272235257,0.765149647,0.46131095,1.084150559,-0.658158988,0.397499184,0.327157455,1.146596641,0.619232652
PI576380,1.225067587,0.434961644,0.667664227,0.615429683,0.152093481,0.6594757,0.342685531,0.23485075,-0.273165539,1.503906408,0.834485573,1.722073143,0.959950497
PI533967,0.096310354,0.767260569,0.739905507,1.063928106,0.054624174,0.577073804,0.799491424,0.244290045,-0.611498966,1.704084075,0.792071072,1.406371249,1.155114931
PI597960,1.600378512,1.110351824,-0.593009547,0.52698543,1.314242704,0.370974146,1.007715884,0.764104351,1.62495147,1.346619751,0.740693027,1.301557104,0.902188063
PI533996,1.367785362,0.193199647,1.061117644,1.236305653,0.370920025,0.419337301,0.807225482,-0.776706101,0.026845046,1.898791046,1.38739361,1.147934815,1.534091439
PI548797,0.574719877,1.728458249,0.41447294,0.950603809,1.042407821,0.733581498,1.730866891,1.532869847,0.497826485,1.539510626,1.126600124,1.864684139,1.205520418
PI656046,-0.218577042,0.943808959,0.950739305,1.042581766,0.566362193,0.812126561,1.330329704,0.589727087,1.492753378,2.012560985,1.30331564,2.721266138,0.962693923
PI656058,1.490386459,1.197568494,0.858490014,-0.151503277,1.477719143,0.526145658,1.113753711,1.438221815,0.377795096,-0.495015641,0.496893868,1.555661184,0.126335306
PI655993,1.179290318,0.790363842,0.279667661,1.625642422,0.807450136,0.29465208,1.357993418,0.53603417,-0.07222036,1.703661695,1.499105891,1.329913226,1.281743356
PI656109,0.12857583,0.077473399,-1.381557508,0.318724909,-1.99120968,-0.015436503,-0.112412911,0.0088259,-0.427135708,-0.142621022,-0.072472318,0.592705474,0.187798642
PI533961,0.602332089,1.087564822,0.695890665,-0.09352277,1.169578186,0.834437905,1.623094751,0.948283736,1.171596584,1.427860028,1.05083139,1.838365912,1.373996017
PI533911,1.490108577,0.002526448,1.026036439,0.706589932,-0.346064316,0.495143577,0.679282638,-0.254727899,0.232725335,2.326624249,2.030963951,1.216042403,1.18707701
PI534053,-0.256138063,1.081976008,0.745831583,1.2957334,0.179316039,0.187329075,0.833886405,0.600696295,0.527156368,0.633042519,0.261317972,1.403242612,1.090365132
PI534108,-0.660712657,-0.031631567,0.177058566,0.15734488,0.417028663,-0.256976047,0.41572522,-1.096457601,-0.980050649,1.869604139,1.225473578,0.235168412,0.447577516
PI656006,1.021544253,1.255585207,0.512063775,0.808142073,-0.252456083,0.128148051,0.23257323,0.104080093,0.452786787,1.334060037,0.038113811,0.191828295,1.201251928
PI576381,0.029458966,0.470829145,0.667677379,0.483643285,0.081208084,-0.056438612,0.663837583,-0.457635998,1.463875489,2.098794635,1.343817651,1.857419844,1.964292665
PI533842,1.197022289,2.43617501,1.003831002,-0.335966515,0.257981405,0.599725898,1.696676418,1.29551069,0.508038832,1.975944238,1.24876358,2.122528966,0.996782959
PI656010,0.509399584,0.977126489,0.243112333,0.733163788,0.349499646,0.233228951,0.968941138,-0.299839573,-0.145544884,1.902406747,1.424388875,2.301152963,0.996001218
PI656014,0.88366212,0.883935957,-0.927531704,-0.048255854,1.035150461,0.947841241,1.365098023,0.646666634,1.576697388,1.152583774,1.082010401,2.004991269,0.520965811
PI656002,0.76665218,0.404242799,-0.810571709,-0.045271687,0.271375678,-0.135705711,0.708534307,0.531952365,-1.027113647,-0.514368093,-0.174669005,0.579998019,0.698691356
PI595739,-0.046584252,0.102526865,0.873844434,0.293710964,-1.446823346,0,0.280367583,-1.344447801,0.83582561,1.943796726,1.313833201,1.547067179,1.120627307
PI534137,1.674105617,1.039935567,0.359928392,0.907806931,-0.332276867,0.548504851,0.944299036,0.912720373,0.282666366,1.416462484,0.830296324,1.684305718,0.658029809
PI655990,0.860961712,1.039614757,0.87393484,1.14767516,0.48983107,0.754597975,1.531664231,1.263868782,0.880180289,0.815404216,1.075773612,0.943477878,0.900382999
PI533757,1.111355392,0.937793648,1.026844088,-0.326273158,0.313989375,0.466638152,1.092567698,0.521241722,-0.202295698,0.795004403,0.961536621,1.592026236,1.312406685
PI533976,0.081245327,0.738836071,0.415090681,1.524967118,1.407385108,0.814427944,1.695746956,1.716193605,0.273301276,1.437319728,0.548101553,1.21686484,1.650805062
PI629034,-0.467693066,-0.881555587,-1.490728226,-0.332923518,-0.215933479,-0.479048391,0.283067565,-0.911169427,-1.344524908,0.463608887,0.16690179,0.228050499,0.170419304
PI533856,0.990091025,1.404281901,0.670815402,0.985526787,0.943852844,0.25083782,1.086106525,0.87667586,0.42407213,1.511932743,0.522080967,1.45425384,0.982316614
PI533970,0.558319393,0.614808396,0.56330133,1.225439036,0.579652222,0.379618492,0.748137386,0.949772207,2.089374134,1.80872746,0.037983819,0.798395277,1.170337549
PI534116,0.476094568,0.422564991,-1.98950191,0.712338955,0.095456701,-0.021173473,0.91772964,0.852486778,1.693250784,1.476273719,-0.145698465,0.386957176,0.780642429
PI629040,0.772724033,0.523350638,0.453945257,0.331647533,0.495766663,0.041285741,0.405923084,0.903787686,0.773252354,0.453182794,0.268372589,1.144004552,0.723625731
PI656073,0.536234512,0.583528019,0.601632927,0.39439247,-0.154312433,-0.104243626,0.626873633,0.471868437,-0.165718641,0.256106518,-0.058528211,-0.772122773,0.700245334
PI533810,-0.926399163,0.366897752,-2.065081677,-0.257693632,-0.448895265,0.20286735,0.690933747,0.724064674,-0.256081448,-0.460671052,-0.110981829,-0.426609911,-0.175623751
PI629059,1.190899592,0.079577734,-1.01256557,0.43514478,0.348408072,-0.343978971,0.347317941,0.591907821,-0.19696854,-0.325429789,-0.250671118,-0.91888683,0.960202705
PI655975,1.628624779,1.017207767,0.508044924,0.040565211,0.500879203,0.329608038,0.921994396,0.619740743,-0.103488107,-0.35755825,0.553653842,1.471182694,0.727563282
PI533758,-0.154788226,0.663230561,0.977093042,1.179476015,-0.585824436,0.167377987,0.354176429,0.742217237,0.033699914,0.154116008,0.268666668,1.140677127,0.9125396
PI642998,0.569901465,0.70778441,-1.11743851,0.36864986,-1.181673668,-0.040809248,0.702462255,0.230614098,0.101847602,1.546846983,1.702387015,1.01738024,0.856039032
PI533800,0.930200569,0.84656116,0.723291201,0.341179934,0.855293931,0.121840748,0.739578955,-0.092790135,-0.774463308,1.595183423,0.699170854,1.016355061,0.7804887
PI656106,-0.17889551,0.480236481,0.427282485,0.185213939,0.865444667,-0.082980344,0.866970967,0.143779871,-0.013681128,1.965902836,1.065490659,1.545438031,1.061628618
PI659696,0.498901556,0.065321122,0.719452663,-0.348540396,-0.509582947,-0.276067923,0.435419498,-0.32903103,-1.027429902,0.699147473,0.041311348,0.710147488,0.475535114
PI534128,-0.394518895,0.660243699,0.287750168,0.8657655,0.107632951,0.236314561,0.458303674,-0.067212085,-0.062304943,1.136832519,0.595173857,1.346242927,0.839626108
PI533755,2.161238324,0.937256965,0.920045279,1.093965127,0.776193324,-0.108976675,0.59132351,0.006896324,0.283023228,-0.43774164,0.257772444,0.292290161,0.707880299
PI656029,-0.820635808,-0.539883183,0.3440751,0.586365935,-0.160567778,-0.435709485,-0.526937854,-0.459966736,-1.112552809,-1.026840728,-0.896982746,-0.434967949,-1.491446215
PI34911,0.854986179,0.825534006,1.296704354,1.242970683,0.956277568,0.557149071,0.474963043,0.574188475,-0.068705924,-0.15347927,0.170840721,0.674642093,1.044286741
PI656017,1.416398601,1.050762541,0.320569173,0.248317288,0.326351915,0.103602987,0.95813265,1.032703972,2.101057932,2.064619231,0.109461566,0.790748502,0.312056925
PI533901,0.092832162,0.716651507,1.386305882,0.258584699,0.57133826,0.47738085,0.853893074,0.200259409,0.432595235,2.011203513,1.465219219,1.401298209,1.226445203
PI533788,0.734715676,0.979086558,0.570681439,0.621500193,0.110163605,0.232937829,0.539842867,0.710711945,0.435507544,0.726347158,-0.464702485,1.602997348,1.253029759
PI533954,0.610578755,0.750172634,0.865057124,0.052074632,-0.534037982,-0.119393382,0.53406008,-0.561142107,-0.478107577,-0.605593534,0.132550615,0.892471043,1.109096273
PI598070,0.792778929,-0.051707805,0.25324539,0.449044736,0.125214865,-0.326153182,0.295987133,0.037709591,1.333546882,1.044373756,-0.184650117,0.176925306,0.199254902
PI655999,0.584467742,0.188804843,0.018514312,0.620676182,0.310296021,-0.159975531,0.582724615,0.428441403,-0.612357065,-0.345104553,0.479383108,0.869912942,0.296139907
PI576401,-0.687199802,0.41255951,-0.115659794,0.038326331,-0.494271409,0.214103143,0.391623972,0.360248379,0.677410776,0.936613942,0.195743046,0.128396621,0.577447888
PI655982,0.183608291,-0.273562061,-1.268161896,0.417896522,-0.424496336,-0.299977842,0.667394281,-0.132736637,-0.739106367,-0.011062075,0.508882504,0.099013408,0.47168151
PI656021,2.181966554,0.393886282,0.557911359,0.743334427,-0.355045924,-0.069794856,0.341194227,0.824863167,0.971615551,0.120583379,0.054310484,-0.138150543,0.852398513
PI656028,-0.152352126,0.142520885,-0.812500425,-0.029256085,0.442820423,-0.011273204,0.22077953,-0.086553026,-0.070964903,-0.622106487,-0.030286,-0.826453146,-1.38514726
PI656008,0.548570257,0.143818178,0.784590207,0.134196095,0.544340529,-0.061011858,0.507873317,-0.224608004,-0.152446875,0.863182176,0.249159698,0.775367534,-0.139468844
PI576348,-0.407143212,0.382318797,-0.372695423,0.130472379,-0.189462066,0.085054437,0.645186145,0.815216476,0.682964392,0.448851167,0.170741682,0.415688387,0.465813856
PI656062,1.292277735,-0.301447505,0.777550203,-0.041380452,-0.520559673,-0.034875723,0.307263252,0.395045237,-0.407959006,-1.341266371,-0.385449589,-1.290868569,0.435850761
PI152651,0.336150133,0.627029379,0.771434053,1.223480926,-0.005169117,0.296462438,0.839392078,0.852412013,0.4568533,0.580736791,0.417314929,0.201512682,0.763363398
PI576359,1.051784336,0.374494932,1.17061303,1.528685362,1.095408239,0.546873073,0.702384408,0.623528643,-0.623010859,1.527458829,0.653322513,1.474313126,0.819360889
PI534096,1.019237254,0.42563278,-0.914906876,0.04481266,0.867609383,-0.242046253,0.377117729,0.431100361,-0.395434106,-0.104771832,0.35136308,0.502920226,-1.158356075
PI656019,1.377602645,0.311067539,0.787110268,1.128023471,-2.531379086,-0.100647688,0.423100202,0.578985632,0.034330904,0.003934478,0.067918475,0.114008836,0.227395067
PI597976,1.693928814,0.427493788,1.236989277,1.300565926,1.303561331,1.237528952,0.53043292,0.209017504,0.018188471,1.858526466,0.966469673,2.091291144,1.065231394
PI533863,-0.653646782,-0.209091543,-1.196964871,1.197108133,0.494888608,-0.159959002,0.414559818,0.504442125,0.51202938,0.012181446,-0.166370401,0.254798688,-1.172642624
PI656112,1.77830321,-0.639867475,-1.584234693,0.774775325,0.879673615,-0.762661075,-0.062575388,-1.179158647,-1.031170537,-0.994229417,-1.077650631,-0.570588992,-1.319808406
PI48770,2.089456713,1.012986278,1.213663999,1.002306796,0.558209134,0.569516965,1.010362895,0.839848647,0.27510335,1.320740067,0.860460505,1.847735933,0.944340417
PI656003,2.21519261,0.476196034,0.523087754,0.169873388,1.869681834,0.033765862,0.663252091,0.427733513,0.096147692,-1.074927099,-0.163497154,0.613423405,-1.194978783
PI542406,0.619856154,0.632134775,-0.22179329,0.994025083,1.388553243,0.435040042,0.435250073,0.845562989,1.919260711,0.392262692,0.628450401,1.50640815,0.952629574
PI655988,1.963071975,-0.157724793,0.569513672,0.208965471,1.474419517,-0.762870342,0.278893326,-0.055879374,-0.473576255,-0.40917737,0,-0.405881128,-1.00814741
PI656054,2.34738169,0.695815884,0.68297947,1.505124354,0.772760718,0.604403933,0.850399212,1.212199284,0.276483858,-0.238557415,-0.140558584,-0.149364779,0.324190905
PI329440,1.881366092,0,0.736826884,1.913209922,1.657252565,-0.207897521,0,-0.134628065,-0.277860054,0.339475969,0.59226613,0.111044249,0.340770859
PI659691,3.154350513,0.624678731,0.996154723,2.109446961,2.497653316,0.856473312,1.044114525,1.650796114,0.434014108,0.99877928,0.143323491,0.331761454,0.417736366
PI656115,2.302394639,-0.167038453,-1.361739871,2.344013378,1.55675917,0.093637437,0.0556728,-0.347006733,-1.148889083,-0.351977651,-0.241758535,-0.223916909,-0.856485755
PI534021,2.542791314,0.959645664,0.98527743,1.081120546,1.975125145,0.436136979,0.402087837,0.763970187,0.127713058,-0.33673291,0.159995715,0.386217126,0.52071293
PI534127,1.573486899,0.256383755,-1.274175409,0.302314959,1.951581134,-0.009747163,0.189833033,0.516455162,-0.37719742,-1.212045289,-0.265138764,-1.146659756,-1.190893297
PI534133,2.233709331,0.00646293,-0.936270364,1.008730235,1.919531988,-0.126389696,-0.202648786,-0.12295081,-0.724774928,-0.418792866,-0.127992967,0.069056182,-0.720792942
PI656120,2.418557573,0.144192652,-2.023788242,1.687842091,2.316544925,-0.064310393,0.480278997,0.556617553,0.057016578,-0.796948531,-0.436027037,-0.257097524,-0.883747302
PI656116,3.172744403,0.2028062,0.417802862,2.295109927,2.673033715,0.259261018,0.531685526,0.953322808,0.446692041,-1.201623264,0.121580693,0.513854429,0.25175342
PI595702,1.324105701,-0.535949799,-1.908988575,2.16995625,1.825002011,-0.399681877,0.027869823,-0.615127432,-0.305134926,-0.030003763,-0.256755404,-0.667130071,-1.544994276
