"","Massbank_PR310840_LPC_18_3","Massbank_PR310841_LPC_18_3","Massbank_PR310842_LPC_18_3","Massbank_RP012103_PC_16_0_0_0_Palmitoyllysolectithin_3_hexadecanoyloxy_2_hydroxypropyl_2_trimethylazaniumyl_ethyl_phosphate","PC_14_0_18_1_","PC_14_0_18_2_","PC_14_0_18_3_","PC_14_0_20_4_","PC_14_0_22_6_","PC_15_0_0_0_","PC_15_0_18_2_","PC_15_0_18_3_","PC_15_0_20_3_","PC_15_0_20_4_","PC_15_1_18_2_","PC_16_0_16_0_","PC_16_0_16_1_","PC_16_0_18_0_","PC_16_0_18_1_","PC_16_0_18_2_","PC_16_0_18_3_","PC_16_0_20_3_","PC_16_0_20_4_","PC_16_0_20_5_","PC_16_0_22_4_","PC_16_0_22_5_","PC_16_0_22_6_","PC_16_0_18_1_2_3_hexadecanoyloxy_2_octadec_9_enoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_0_20_4_2_3_hexadecanoyloxy_2_icosa_5_8_11_14_tetraenoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_0_20_5_2_3_hexadecanoyloxy_2_icosa_5_8_11_14_17_pentaenoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_1_16_1_","PC_16_1_17_1_","PC_16_1_17_2_","PC_16_1_18_1_","PC_16_1_18_2_","PC_16_1_18_3_","PC_16_1_20_4_","PC_16_2_16_0_","PC_16_2_16_1_","PC_16_2_18_1_","PC_16_2_18_2_","PC_16_3_16_0_","PC_17_0_0_0_","PC_17_0_18_1_","PC_17_0_18_2_","PC_17_0_18_3_","PC_17_1_18_1_","PC_17_1_18_2_","PC_17_2_18_2_","PC_18_0_18_2_","PC_18_0_18_3_","PC_18_0_20_2_","PC_18_0_20_3_","PC_18_0_20_4_","PC_18_0_9_0_CHO_","PC_18_1_18_1_","PC_18_1_18_2_","PC_18_1_19_1_","PC_18_1_20_1_","PC_18_1_20_3_","PC_18_1_20_4_","PC_18_1_22_1_","PC_18_1_24_0_","PC_18_1_24_1_","PC_18_1_18_2_trimethyl_2_3_octadec_11_enoyloxy_2_octadeca_9_12_dienoyloxy_propyl_phosphonato_oxy_ethyl_azanium","PC_18_2_0_0_","PC_18_2_18_2_","PC_18_2_18_3_","PC_18_2_20_0_","PC_18_2_20_1_","PC_18_2_20_2_","PC_18_2_20_4_","PC_18_2_22_0_","PC_18_2_24_0_","PC_18_3_0_0_","PC_18_3_18_3_","PC_18_3_20_2_","PC_19_1_19_1_","PC_19_1_22_1_","PC_20_1_20_1_","PC_DAG_16_0_18_3_","Spectral_Match_to_Arachidonoylthio_PC_from_NIST14","Spectral_Match_to_HEPC_from_NIST14","Spectral_Match_to_Lyso_PC_16_0_from_NIST14"
"PI576422","2.536145e+01","2.536145e+01","2.536145e+01","5.120362e+01","1.520452e+01","2.024373e+01","2.523265e+01","4.895757e+01","4.271569e+03","1.410849e+00","3.149585e+02","4.349912e+02","1.519770e+02","4.644539e+00","3.107080e+02","5.030815e+02","5.324635e+01","8.283294e+01","6.098636e+03","2.124967e+04","7.716371e+04","1.946994e+03","2.633402e+03","8.904024e+03","3.166615e+00","1.354023e+01","1.035235e+01","8.238134e+00","8.205325e+01","2.422151e+01","1.260818e+01","2.576933e+02","3.182055e+02","3.541612e+03","2.215980e+02","5.452601e+01","2.359913e+04","6.859874e+00","5.046530e+01","8.583594e+03","8.466838e+01","5.887619e+01","2.429575e+03","3.546488e+00","5.512084e+02","1.198605e+02","5.034258e+02","9.267674e+02","1.990517e+00","9.789690e+02","4.263456e+02","1.530018e+01","1.435922e+02","6.333230e+00","9.856092e+00","4.543257e+02","1.399017e+03","6.266471e+00","9.501033e+01","7.388769e+00","1.091789e+02","2.295176e+00","4.368285e+00","3.169714e+02","6.568217e+01","1.162144e+03","1.492261e+04","1.078429e+04","2.814543e+01","2.163195e+01","1.055538e+00","1.035235e+01","1.530117e-01","1.668270e+01","3.296989e+02","6.102242e+03","5.969534e+00","6.165873e+01","2.594668e-01","6.120469e-01","1.477320e+01","5.389955e+02","2.351415e-01","2.560181e+02"
"PI651496","6.665445e-01","6.665445e-01","6.665445e-01","1.770335e+01","2.115726e+01","7.328837e+01","4.529314e+00","1.179363e+02","1.606065e+03","1.873022e-01","4.228207e+02","4.552866e+02","6.926259e+01","8.943850e+01","3.252047e+02","3.579025e+02","1.083575e+02","3.830647e+02","1.148320e+04","2.610177e+04","4.193979e+04","3.518089e+03","6.119310e+03","5.774762e+03","5.804725e+01","2.047341e+01","1.830169e+01","1.381652e+01","1.481247e+02","1.042013e+02","1.237128e+01","3.459442e+02","3.453132e+02","4.350296e+03","7.761786e+02","9.415469e+01","1.469920e+04","2.368407e+01","9.058628e+00","4.694474e+03","1.735290e+02","1.056840e+01","2.076366e+03","2.594466e+01","4.086372e+02","6.536121e+01","3.837021e+02","5.189883e+02","3.833079e+01","1.954750e+03","4.724845e+02","8.299113e+01","3.722589e+02","1.160945e+02","5.990155e+00","2.492083e+02","3.302590e+03","1.351100e+01","1.257478e+02","1.354436e+02","1.994318e+02","3.710907e+01","8.519869e+00","8.010035e+02","2.536566e+02","1.623372e+02","3.467609e+04","6.821309e+03","3.668183e+01","5.651000e+01","1.934908e+01","1.830169e+01","2.473938e+00","4.215808e+01","8.665079e+00","2.294379e+03","9.270758e+00","8.288575e+01","1.716644e+00","9.895753e+00","5.174524e+01","1.002750e+03","3.121704e-02","8.851673e+01"
"PI595720","8.943509e+00","8.943509e+00","8.943509e+00","5.273993e+01","6.551622e+01","8.424448e+01","2.014448e+01","3.999883e+01","2.156873e+03","2.972918e-01","2.042451e+02","2.940477e+02","4.756005e+01","1.454052e+01","2.100341e+02","4.143972e+02","8.662610e+01","3.157241e+02","1.139694e+04","1.833450e+04","4.305245e+04","3.567077e+03","3.597413e+03","5.166746e+03","3.181636e+01","2.368897e+01","1.151678e+01","2.880099e+01","1.083165e+02","6.377423e+01","5.677299e+00","1.671096e+02","2.336165e+02","3.055750e+03","1.032930e+03","2.514065e+01","1.368745e+04","1.573481e+01","4.028897e+01","4.829514e+03","5.329594e+01","4.700380e+01","3.426001e+03","5.306006e+01","2.334607e+02","4.673400e+01","2.123266e+02","3.730460e+02","6.231652e+00","1.131389e+03","5.936294e+02","5.665272e+01","1.596454e+02","6.363272e+01","6.241603e-01","2.281145e+02","1.623379e+03","9.196306e+00","7.747967e+01","7.423817e+01","1.691351e+02","6.085082e+00","1.605275e+01","2.144039e+02","1.579802e+01","5.805492e+02","2.038534e+04","6.383148e+03","3.087549e+01","2.393488e+01","1.060545e+01","1.151678e+01","4.056721e-01","1.128442e+01","1.162656e+02","3.081248e+03","9.089780e+00","6.739861e+01","3.391440e-01","1.622689e+00","6.886199e+01","6.483165e+02","4.954863e-02","2.636997e+02"
"PI655997","4.329352e+00","4.329352e+00","4.329352e+00","1.610929e+01","4.298116e+01","1.549148e+01","4.010847e+00","5.102223e+01","3.962864e+03","2.590776e-01","5.174165e+02","8.806754e+02","8.838928e+01","9.249489e+00","6.290538e+02","3.156971e+02","7.162653e+01","1.057080e+02","4.791859e+03","1.425932e+04","5.712682e+04","2.756289e+03","3.305449e+03","5.724979e+03","2.642019e+01","1.035146e+01","8.866150e+00","9.719322e+00","7.400046e+01","1.083737e+02","8.322360e+00","4.233408e+02","7.107083e+02","2.376553e+03","5.135331e+02","4.579901e+01","1.427227e+04","1.589630e+01","8.021693e+00","6.370249e+03","7.921737e+01","9.358642e+00","1.569435e+03","5.480610e+01","1.945600e+02","8.759595e+01","2.281916e+02","6.999742e+02","3.964067e+00","8.995187e+02","9.789715e+02","8.057110e+01","1.699259e+02","5.284037e+01","1.085217e+00","3.071356e+02","1.462149e+03","6.332334e+00","1.584216e+02","6.164710e+01","6.645689e+01","2.600841e+01","2.393871e+01","4.147849e+02","4.877076e+01","1.434367e+02","1.873088e+04","6.878044e+03","2.980692e+01","1.961747e+01","8.806728e+00","8.866150e+00","1.733894e+00","2.183078e+01","5.628157e+01","5.661234e+03","3.848061e+00","7.154875e+01","5.554691e-01","6.935576e+00","3.423554e+01","8.625599e+02","4.317961e-02","8.054645e+01"
"PI656025","2.223561e+00","2.223561e+00","2.223561e+00","1.654995e+01","7.433169e+01","1.962998e+02","3.773783e+01","3.096710e+02","4.874739e+03","6.827095e-02","4.944535e+02","7.681898e+02","1.149723e+02","3.500120e+02","5.487070e+02","7.861309e+02","1.694437e+02","1.394148e+02","1.498831e+04","4.849825e+04","6.283737e+04","1.276196e+04","1.496866e+04","1.669651e+04","1.310134e+02","6.264624e+01","7.802924e+01","4.122605e+01","3.515752e+02","2.285563e+02","2.436319e+02","4.045529e+02","5.951308e+02","8.083041e+03","2.794916e+02","2.248766e+02","4.392089e+04","4.097313e+01","7.547566e+01","6.994352e+03","4.373572e+02","8.805494e+01","1.193147e+03","1.002030e+02","5.544814e+02","1.074555e+02","5.872881e+02","8.521268e+02","1.500051e+02","3.947843e+03","9.683296e+02","1.523407e+02","9.448887e+02","2.620267e+02","9.946968e+00","7.869291e+02","6.807195e+03","1.884122e+01","1.870809e+02","3.056978e+02","5.784726e+02","6.235481e+01","7.349145e+01","1.209816e+03","1.315608e+02","2.585040e+02","8.482239e+04","2.061798e+04","7.096959e+01","1.566500e+02","4.367112e+01","7.802924e+01","4.156987e+00","6.367451e+01","2.890629e+01","6.963913e+03","2.905054e+01","1.563535e+02","5.027575e+00","1.662795e+01","1.863277e+01","1.825164e+03","1.137849e-02","8.274974e+01"
"PI656077","1.685834e+00","1.685834e+00","1.685834e+00","3.066138e+01","2.123758e+01","2.773830e+01","7.248511e+00","2.794918e+01","1.985263e+03","7.276517e-02","2.129709e+02","2.438354e+02","3.398313e+01","3.199975e+00","1.741681e+02","2.191071e+02","1.874083e+01","3.545846e+01","7.555110e+03","1.617226e+04","2.988225e+04","3.589415e+03","3.468586e+03","4.696001e+03","1.662951e+01","3.726864e+00","1.392462e+01","1.393388e+01","7.851709e+01","2.531973e+01","1.395188e+01","1.742489e+02","1.896231e+02","2.695377e+03","3.811468e+02","1.789282e+01","1.243521e+04","2.928867e+00","1.449702e+01","3.337189e+03","3.750709e+01","1.691319e+01","1.500586e+03","9.318714e+00","2.634402e+02","3.301584e+01","2.279434e+02","2.631595e+02","1.371418e+00","8.286862e+02","3.262083e+02","1.435913e+01","2.462589e+01","3.325902e+01","5.653820e-01","2.540922e+02","4.654918e+03","6.760995e+00","3.658559e+01","3.880219e+01","3.621579e+01","3.039336e+00","5.360017e+00","1.705365e+02","3.418078e+02","1.937448e+02","1.965532e+04","5.798060e+03","2.159356e+01","3.793989e+00","5.543170e+00","1.392462e+01","2.026224e-01","8.975603e+00","2.191584e+01","2.836090e+03","1.490746e+00","4.501817e+01","1.913912e-01","8.104896e-01","2.540978e+01","1.222141e+03","1.212753e-02","1.533069e+02"
"PI534028","3.511628e+00","3.511628e+00","3.511628e+00","3.288513e+01","7.218476e+01","6.620752e+01","1.221271e+01","5.200351e+01","2.282960e+03","2.938887e-01","2.394453e+02","2.948377e+02","4.685216e+01","2.705998e+01","2.105984e+02","5.883246e+02","4.104964e+01","7.674585e+02","8.720775e+03","2.129410e+04","5.552241e+04","4.941350e+03","5.578226e+03","4.223547e+03","2.389312e+01","1.905219e+01","1.832257e+01","1.538429e+01","1.113414e+02","6.928789e+01","2.391357e+01","1.959098e+02","2.364412e+02","3.549016e+03","2.332811e+02","5.100832e+01","1.020742e+04","1.871436e+01","2.442542e+01","6.179525e+03","8.428240e+01","2.849632e+01","1.959889e+03","9.272528e+00","2.098823e+02","4.638789e+01","1.978318e+02","3.706388e+02","1.159714e+01","9.452118e+02","2.682225e+02","7.705164e+01","1.589693e+02","4.778625e+01","4.096629e-01","1.728096e+02","5.729530e+03","1.217108e+01","9.960852e+01","5.575062e+01","1.482954e+02","2.821925e+01","2.356177e+01","3.341981e+02","3.691263e+02","2.524365e+02","3.160995e+04","5.048951e+03","3.364969e+01","1.990648e+01","7.964375e+00","1.832257e+01","1.881283e+00","1.758938e+01","4.565117e+01","3.261372e+03","8.503229e+00","7.503428e+01","2.416927e+00","7.525132e+00","1.555207e+01","1.383890e+03","4.898145e-02","1.644257e+02"
"PI656104","1.164768e+01","1.164768e+01","1.164768e+01","5.334211e+01","8.899460e+00","9.407926e+01","2.110787e+01","4.935183e+01","1.204666e+03","7.326110e-01","2.405785e+02","2.422664e+02","4.059617e+01","6.963770e+00","1.730474e+02","1.964221e+02","6.843210e+01","1.691328e+02","1.290023e+04","1.476161e+04","1.007947e+04","5.124982e+03","1.271655e+03","4.655840e+03","2.990031e+01","2.061859e+01","3.033082e+01","3.468730e+01","6.842793e+01","9.433806e+00","1.945514e+01","1.968370e+02","1.871572e+02","2.460269e+03","3.805725e+02","3.038012e+01","1.183893e+04","1.635568e+01","4.221573e+01","1.136855e+03","6.523524e+01","4.925169e+01","3.565107e+03","1.785783e+01","1.352661e+02","3.902895e+01","1.681738e+02","3.106644e+02","2.984473e+00","1.794781e+03","9.538222e+02","1.012520e+02","3.661191e+02","5.980062e+01","1.500044e+00","2.741973e+02","3.112445e+03","1.465076e+01","1.221069e+02","6.976739e+01","1.908595e+02","3.585525e+01","6.591335e+01","5.099270e+02","1.177770e+02","8.160402e+02","7.206043e+03","5.683712e+03","4.412013e+01","5.485829e+01","9.966770e+00","3.033082e+01","2.390350e+00","2.683826e+01","1.514198e+02","1.720951e+03","9.347959e+00","9.783196e+01","3.726277e+00","9.561401e+00","2.537150e+01","1.148412e+03","1.221018e-01","2.667106e+02"
"PI595745","7.418912e+00","7.418912e+00","7.418912e+00","2.168149e+01","6.407543e+01","3.543979e+01","2.566850e+01","3.640919e+01","4.467157e+03","1.503766e-01","4.522650e+02","7.315941e+02","1.096520e+02","1.097396e+01","5.225672e+02","5.672910e+02","9.969784e+01","5.372987e+02","1.243006e+04","2.185610e+04","8.112766e+04","4.203724e+03","3.023570e+03","4.119829e+03","3.149122e+01","1.430534e+01","1.918572e+01","2.265420e+01","6.673926e+01","7.096543e+01","1.975274e+01","3.700350e+02","6.110447e+02","3.642683e+03","1.031575e+03","3.037512e+01","1.009795e+04","2.212687e+01","5.133699e+01","9.060032e+03","5.464171e+01","5.989316e+01","9.193844e+02","7.626930e+01","3.992514e+02","1.083590e+02","3.512080e+02","8.655785e+02","4.703125e+00","1.302131e+03","1.113312e+03","2.396397e+01","2.507227e+02","6.298245e+01","7.950854e-01","5.203284e+02","2.184951e+03","7.106685e+00","3.811745e+02","7.347952e+01","1.286302e+02","4.405329e+00","3.730911e+01","1.988264e+02","5.321337e+01","2.000885e+02","1.713356e+04","4.893327e+03","5.770196e+01","4.262590e+01","1.049707e+01","1.918572e+01","2.936886e-01","1.046455e+01","9.644585e+01","6.381653e+03","7.020131e+00","1.383811e+02","4.644307e-01","1.174755e+00","6.877167e+01","1.046123e+03","2.506276e-02","1.084074e+02"
"PI598069","3.536918e+00","3.536918e+00","3.536918e+00","1.805937e+01","4.741238e+01","9.355835e+01","1.838135e+01","4.719662e+01","4.903887e+03","3.641612e-01","4.065612e+02","6.606792e+02","6.313300e+01","1.187816e+01","4.719137e+02","5.085034e+02","2.377894e+01","1.912078e+02","5.450396e+03","2.329823e+04","6.626583e+04","3.022937e+03","4.640856e+03","7.858367e+03","3.632040e+01","2.625333e+01","1.217513e+01","1.334120e+01","1.061236e+02","1.351502e+02","6.067595e+01","3.326410e+02","5.278628e+02","3.883038e+03","8.946735e+02","3.547159e+01","2.054108e+04","2.142326e+01","3.676270e+01","7.402633e+03","6.763762e+01","4.288981e+01","1.698299e+03","6.201241e+00","3.208927e+02","6.243975e+01","3.189593e+02","4.988248e+02","5.090639e+00","1.002960e+03","6.249539e+02","7.107636e+01","2.306974e+02","7.264081e+01","1.429688e+01","3.567871e+02","3.893044e+03","9.677550e+00","1.510358e+02","8.474761e+01","2.198876e+02","2.489269e+01","1.555544e+01","5.716859e+02","2.705975e+02","1.973784e+02","2.629819e+04","9.555824e+03","5.831893e+01","3.313545e+01","1.210680e+01","1.217513e+01","1.659512e+00","3.008873e+01","4.597993e+01","7.005554e+03","1.205566e+01","1.262459e+02","8.306596e-01","6.638050e+00","5.964490e+01","1.212117e+03","6.069354e-02","9.029687e+01"
"PI534079","1.521263e+01","1.521263e+01","1.521263e+01","5.909395e+01","5.290683e+01","1.771780e+01","2.441453e+00","3.170509e+01","1.554534e+03","6.532816e-01","1.176430e+02","2.412418e+02","2.980699e+01","1.348145e+00","1.723156e+02","2.472150e+02","2.103867e+01","2.882603e+02","4.549266e+03","8.190255e+03","3.185764e+04","1.993178e+03","2.087671e+03","4.004657e+03","1.940030e+01","7.111435e+00","3.260828e+00","1.377839e+01","5.731581e+01","3.490367e+01","1.138212e+01","9.625340e+01","1.882237e+02","1.365042e+03","3.579664e+02","2.124833e+01","1.041699e+04","4.520703e+00","4.882907e+00","3.555648e+03","4.332553e+01","5.696725e+00","2.885949e+03","1.968270e+01","1.959874e+02","2.950302e+01","2.036950e+02","2.357202e+02","5.777764e-01","5.969694e+02","3.165924e+02","1.810087e+01","6.046045e+01","3.880060e+01","1.410158e+00","2.358258e+02","1.685898e+03","7.568893e+00","2.635481e+01","4.526737e+01","6.213619e+01","4.909403e+00","4.959588e+00","2.833821e+01","8.236587e+01","6.010906e+02","1.183014e+04","4.841775e+03","2.101081e+01","9.206668e+00","6.466767e+00","3.260828e+00","3.272936e-01","1.491485e+00","1.977641e+02","2.220763e+03","3.137468e+00","4.335272e+01","1.034563e-01","1.309174e+00","2.386443e+01","5.175956e+02","1.088803e-01","2.954697e+02"
"PI656074","1.151531e+01","1.151531e+01","1.151531e+01","3.670999e+01","8.262625e+01","1.204551e+02","1.582745e+01","2.476778e+02","1.102893e+04","6.197350e-01","4.060571e+02","5.770476e+02","1.459725e+02","1.123349e+02","4.121769e+02","5.120539e+02","8.488668e+01","1.114236e+03","2.049848e+04","3.441855e+04","6.698103e+04","7.369185e+03","9.103219e+03","1.699853e+04","6.532129e+01","3.952645e+01","4.257619e+01","3.862663e+01","1.798023e+02","4.109772e+02","7.802952e+01","3.322286e+02","4.500132e+02","5.736425e+03","8.746139e+02","1.946801e+02","4.522907e+04","2.796636e+01","3.165489e+01","7.481208e+03","3.619292e+02","3.693071e+01","1.887960e+03","1.779660e+01","4.019047e+02","1.422369e+02","4.054232e+02","1.134160e+03","4.814352e+01","3.514847e+03","1.223346e+03","1.528258e+02","4.707924e+02","1.306426e+02","1.019690e+01","1.056517e+03","7.810786e+03","1.980222e+01","2.073709e+02","1.524164e+02","3.069123e+02","3.018148e+01","3.824641e+01","5.364130e+02","4.850918e+02","4.955067e+02","5.158490e+04","2.089092e+04","5.824246e+01","6.144708e+01","2.177376e+01","4.257619e+01","2.012099e+00","2.823226e+01","1.496990e+02","1.575562e+04","1.579441e+01","1.329122e+02","2.808376e+00","8.048396e+00","5.830759e+01","2.388113e+03","1.032892e-01","1.835500e+02"
"PI576333","1.133834e+01","1.133834e+01","1.133834e+01","2.773438e+01","6.137504e+01","4.560244e+01","3.141218e+01","1.129971e+02","7.329007e+03","3.854835e-01","9.282989e+02","1.291893e+03","1.712233e+02","7.244610e+00","9.227808e+02","5.069823e+02","9.062909e+01","1.516495e+02","8.424031e+03","8.972826e+03","3.470556e+04","3.632984e+03","6.224037e+03","1.106539e+04","5.540330e+01","1.837495e+01","2.340622e+01","1.591152e+01","1.517148e+02","2.067161e+02","2.630769e+01","7.595173e+02","1.034726e+03","1.495471e+03","9.544235e+02","7.839673e+01","2.946627e+04","2.910081e+01","6.282436e+01","3.898593e+03","1.565949e+02","7.329508e+01","1.823215e+03","6.901095e+01","6.748227e+02","1.672219e+02","5.968089e+02","1.333774e+03","3.104833e+00","2.327659e+03","6.983647e+02","1.601942e+02","3.253001e+02","1.108066e+02","6.243571e-01","6.969920e+02","2.274572e+03","1.336048e+01","2.798778e+02","1.292744e+02","1.829431e+02","4.283709e+01","3.700144e+01","5.405730e+02","8.128143e+01","4.363662e+02","3.526955e+04","1.351789e+04","4.747284e+01","3.294522e+01","1.846777e+01","2.340622e+01","2.855806e+00","2.845121e+01","1.473984e+02","1.047001e+04","8.339966e+00","1.169793e+02","4.349355e-01","1.142323e+01","6.362824e+01","8.254773e+02","6.424724e-02","1.386719e+02"
"PI656016","7.531527e+00","7.531527e+00","7.531527e+00","3.777169e+01","5.043014e+01","1.048260e+01","1.768984e+00","4.038115e+01","1.534997e+03","1.755073e-01","1.351480e+02","2.207622e+02","2.783185e+01","2.475053e+00","1.576873e+02","3.834200e+02","2.275077e+01","1.318919e+02","7.025659e+03","1.366695e+04","2.863948e+04","2.277614e+03","2.895665e+03","2.807280e+03","1.455495e+01","1.256500e+01","7.071295e+00","1.350486e+01","9.817608e+01","2.195557e+01","3.940907e+00","1.105757e+02","1.741898e+02","2.277824e+03","4.834956e+02","3.473997e+01","7.522421e+03","7.265322e+00","3.537968e+00","3.203653e+03","6.146273e+01","4.127629e+00","1.882279e+03","2.621263e+01","1.497983e+02","2.744886e+01","1.398992e+02","2.192079e+02","1.060737e+00","6.715244e+02","2.746624e+02","1.906477e+01","6.625881e+01","2.910990e+01","9.711698e-01","1.119852e+02","1.495575e+03","5.970772e+00","3.174970e+01","3.396155e+01","1.099238e+02","4.633490e+00","3.942247e+00","1.668004e+02","5.301497e+01","4.754380e+02","1.640877e+04","3.465509e+03","2.454170e+01","1.052265e+01","4.851650e+00","7.071295e+00","3.088993e-01","8.778968e+00","9.790985e+01","2.192853e+03","5.648149e+00","5.062262e+01","3.289929e-01","1.235597e+00","3.223304e+01","4.506011e+02","2.925122e-02","1.888585e+02"
"PI655987","1.242566e+01","1.242566e+01","1.242566e+01","3.363951e+01","3.356311e+01","7.865016e+00","9.905426e+00","1.765299e+01","1.964335e+03","2.845931e-01","2.614264e+02","3.731306e+02","5.324094e+01","3.285174e+00","2.665219e+02","3.273815e+02","1.475785e+01","2.272021e+02","3.756986e+03","9.642990e+03","3.583917e+04","3.233169e+03","1.881346e+03","3.341819e+03","2.233054e+01","1.911581e+01","6.564653e+00","9.831786e+00","4.518928e+01","4.372251e+01","7.991071e+00","2.138944e+02","3.082875e+02","1.607165e+03","5.023326e+02","2.561231e+01","7.683948e+03","9.069620e+00","1.981085e+01","4.004456e+03","3.539889e+01","2.311266e+01","2.095305e+03","5.929273e+00","1.742617e+02","5.288291e+01","1.672029e+02","4.227052e+02","1.407932e+00","6.803214e+02","5.246130e+02","1.609253e+01","7.012435e+01","4.466107e+01","3.246622e-01","1.694531e+02","3.035439e+03","4.413932e+00","7.424834e+01","5.210458e+01","1.285766e+02","2.861793e+00","1.751168e+01","1.783672e+02","1.823047e+02","4.484289e+02","1.066096e+04","4.023613e+03","2.338389e+01","7.917260e+00","7.443512e+00","6.564653e+00","1.907862e-01","9.387748e+00","1.615335e+02","2.806193e+03","7.492004e+00","5.104798e+01","2.192266e-01","7.631448e-01","3.348884e+01","9.568056e+02","4.743218e-02","1.681975e+02"
"PI585295","3.410617e+01","3.410617e+01","3.410617e+01","5.896631e+01","3.267028e+01","6.503868e+01","1.259050e+01","2.214316e+01","1.452502e+03","7.469752e-01","2.537308e+02","2.641315e+02","3.191101e+01","1.367428e+01","1.886654e+02","3.316042e+02","3.474096e+01","1.942182e+02","8.845553e+03","1.102236e+04","3.171347e+04","2.410038e+03","3.139518e+03","2.659269e+03","1.216627e+01","1.329358e+01","1.146553e+01","2.124015e+01","9.006804e+01","2.474735e+01","2.437614e+01","2.075979e+02","2.107683e+02","1.837061e+03","2.173069e+02","3.542363e+01","6.256698e+03","1.235646e+01","2.518100e+01","3.533377e+03","4.710010e+01","2.937783e+01","2.491945e+03","8.276330e+00","1.538701e+02","3.161430e+01","1.645092e+02","2.526177e+02","5.860406e+00","5.447902e+02","2.082024e+02","1.634768e+01","1.545054e+02","2.433254e+01","3.855398e-01","2.560246e+02","1.639183e+03","5.228075e+00","1.322517e+02","2.838797e+01","8.320316e+01","9.469414e+00","7.075899e+01","1.064726e+02","7.062537e+01","1.679528e+03","1.779060e+04","3.246694e+03","3.146829e+01","2.605281e+01","4.055424e+00","1.146553e+01","6.312943e-01","5.603819e+00","4.433802e+02","2.075003e+03","4.678938e+00","7.062025e+01","2.141988e-01","2.525177e+00","1.448713e+01","4.448501e+02","1.244959e-01","2.948315e+02"
"PI655977","1.466842e+01","1.466842e+01","1.466842e+01","2.168976e+01","2.470484e+00","3.545395e+01","9.190826e+00","3.155192e+01","2.501719e+03","4.147230e-01","8.090735e+01","2.884924e+02","5.487701e+01","1.210070e-01","2.060660e+02","1.558939e+02","1.169114e+01","1.396130e+02","2.254735e+03","1.560790e+04","5.397372e+04","1.858254e+03","3.538013e+03","9.490687e+03","7.011327e+00","1.159689e+01","9.255280e+00","1.717382e+00","4.059873e+01","9.395767e+01","9.300703e+01","6.619692e+01","2.349302e+02","2.601317e+03","1.193165e+01","4.886118e+01","2.595631e+04","8.876143e+00","1.838165e+01","5.997610e+03","6.579253e+01","2.144526e+01","1.529532e+03","3.011451e+00","2.754351e+02","4.000701e+01","2.357915e+02","3.051861e+02","5.186015e-02","5.231314e+02","4.521049e+02","2.373288e+01","6.786230e+01","1.402265e+01","7.501475e+00","6.317953e+02","7.120126e+02","4.770664e+00","5.485736e+01","1.635976e+01","1.042588e+02","1.905099e+00","7.151700e+00","2.605190e+01","3.032597e+00","6.396009e+02","2.004874e+04","1.180631e+04","1.662585e+01","9.131981e+00","2.337109e+00","9.255280e+00","1.270066e-01","1.371153e+00","1.906895e+02","3.573884e+03","5.555679e+00","3.689864e+01","1.411948e-01","5.080265e-01","7.954433e-01","4.027737e+02","6.912051e-02","1.084488e+02"
"PI597946","1.226904e+01","1.226904e+01","1.226904e+01","5.466028e+01","4.642224e+01","4.189991e+01","1.119608e+01","1.244045e+02","5.586619e+03","2.614352e+00","4.809926e+02","5.446083e+02","6.238873e+01","1.863915e+01","3.890060e+02","5.111527e+02","5.292552e+01","1.805205e+02","6.176340e+03","2.684629e+04","4.752642e+04","3.576272e+03","5.280315e+03","1.157022e+04","2.454768e+01","2.113900e+01","2.385297e+01","1.505949e+01","1.752801e+02","3.989927e+01","9.725256e+01","3.935394e+02","4.066013e+02","4.474382e+03","3.481870e+02","1.033662e+02","3.103984e+04","1.201330e+01","2.239217e+01","5.296188e+03","1.863579e+02","2.612420e+01","2.589623e+03","4.792257e+01","2.591468e+02","5.988450e+01","2.248799e+02","4.765718e+02","7.988208e+00","1.474595e+03","3.553030e+02","4.793577e+01","2.861130e+02","4.909536e+01","1.109987e+01","3.159497e+02","1.973196e+03","6.177771e+00","1.250960e+02","5.727792e+01","1.827928e+02","5.538078e+00","1.125923e+01","5.218248e+02","5.909784e+01","8.574160e+02","2.992179e+04","1.418504e+04","2.735056e+01","4.206446e+01","8.182560e+00","2.385297e+01","3.692052e-01","2.746446e+01","1.594976e+02","7.980885e+03","9.758488e+00","6.333038e+01","1.300730e+00","1.476821e+00","2.321247e+01","5.828857e+02","4.357253e-01","2.733014e+02"
