,PC_18_3__0_0,PC_18_2__0_0,PC_15_0__0_0,PC_17_0__0_0_1,PC_18_0__9_0_CHO,PC_17_0__0_0_2,PC_18_3__18_3__PC_14_0__22_6,PC_16_3__16_0_PC_14_0__18_3__PC_16_2__16_1,PC_16_2__18_2__PC_14_0__20_4__PC_16_1__18_3,PC_16_1__20_4__PC_16_0__20_5__PC_18_2__18_3,PC_16_0_20_5,PC_16_1__16_1,PC_16_1__17_2__PC_15_0__18_3__PC_15_1__18_2,PC_17_2__18_2__PC_15_0__20_4,PC_14_0__18_2_PC_16_2__16_0,PC_16_2__18_2__PC_16_1__18_3__PC_14_0__20_4,PC_18_2__18_3__PC_16_0__20_5__PC_16_1__20_4,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_1,PC_16_1__17_2__PC_15_1__18_2__PC_15_0__18_3,PC_16_1__17_1__PC_15_0__18_2,PC_18_2__18_2__PC_16_0__20_4,PC_14_0__18_2__PC_16_2__16_0,PC_16_0__18_3__PC_16_2__18_1,PC_16_0_20_4,PC_16_0__20_5__PC_18_2__18_3__PC_16_1__20_4,PC_18_2__20_4__PC_16_0__22_6_1,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_2,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_1,PC_16_0__16_1__PC_14_0__18_1_1,PC_16_1__18_2__PC-DAG_16_0__18_3__PC_16_0__18_3,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_2,PC_16_0__18_1_1_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_2,PC_18_2__20_4__PC_16_0__22_6_2,PC_18_1__18_2__PC_16_0__20_3,PC_16_0__18_2__PC_16_1__18_1,PC_16_0__16_1__PC_14_0__18_1_2,PC_18_2__20_1__PC_18_0__20_3,PC_16_0__18_1_2_1,PC_17_1__18_1__PC_17_0__18_2_1,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2,PC_18_2__20_4__PC_16_0__22_6_3,PC_18_2__20_2__PC_18_0__20_4__C_18_1__20_3__PC_16_0__22_4,PC_16_0__16_0_1,PC_16_0__18_0,PC_18_1__18_2__PC_18_0__18_3__PC_16_0__20_3,PC_17_1__18_1__PC_17_0__18_2_2,PC_16_0__18_1_1_2,PC_16_0__18_1_2_2,PC_18_1__18_1_PC_18_0__18_2,PC_16_0__16_0_2,PC_16_0__18_1_3,PC_18_1__20_1__PC_19_1__19_1__PC_18_2__20_0,PC_18_1__20_4,PC_18_0__18_2__PC_18_1__18_1,PC_18_2__20_1__PC_18_0__20_3_1,PC_17_0__18_1,PC_18_1__18_1__PC_18_0__18_2_1,PC_18_2__20_1__PC_18_0__20_3_2,PC_18_1__19_1,PC_18_0__20_2__PC_19_1__19_1__PC_18_1__20_1__PC_18_2__20_0,PC_18_0__20_2__PC_18_1__20_1__PC_19_1__19_1,PC_18_1__22_1__PC_20_1__20_1__PC_18_2__22_0,PC_19_1__22_1,PC_18_1__24_1__PC_18_2__24_0,PC_18_1__24_0,LPC_18_3
PI534021,271.26727,1508672.1,8792.67,52910.363,108501.72,34083.824,17790.514,3754.4346,2196.0706,3754.4346,3409.4265,1853.7335,106942.016,7744.7725,91917.45,42229.25,74264.43,14652.932,29260.277,11457874,22722.11,11842282,1575656.6,152934.2,15353.59,545255.7,16696.184,3362.3862,50707.03,2864.706,55036.367,22439.611,1758.8872,1958644.1,90365.53,46619.06,6708563.5,30261.441,4720815.5,163546.28,163546.28,2616.8267,224831.14,311127,3288.0303,140718.97,374940.1,9693.468,77094.46,272745.2,4679.6914,12626.868,23691.523,10970.286,8055.5156,16469.113,26233.074,789.0353,1678.4532,7255.2705,1295.22,445.45273,36930.496,754.87103,1053.947,57421.203,559.285,52910.363
PI576375,72.771355,813287.4,1291.2935,14479.044,151749.7,3971.531,2084.5747,5834.71,13439.443,2058.7568,6579.745,2367.8506,204142.8,26319.172,119975.12,80088.23,106977.516,4273.6177,20486.666,2948416.8,42882.51,9231034,1234994.1,22801.709,71911.67,1212062.4,152333.12,2513.886,42767.38,18057.1,90653.164,72349.94,17160.443,317104.06,6529.673,16199.098,2673537.2,97252.55,7925957.5,1163424.2,12943.49,19227.78,232604.83,1540077.2,40778.246,50103.82,871985,18859.377,170447.03,810153.25,7117.05,14331.969,135062.92,12103.603,60197.95,22087.285,39262.47,3236.9316,4317.2886,120912.29,2217.1501,56211.125,77193.1,1429.1086,2548.4595,43292.27,3055.7842,14479.044
PI534114,259.24057,1099584.9,6367.2705,16054.8125,61829.45,1255.0511,21513.693,7223.6445,17213.393,17555.252,1049.1814,2495.6985,82897.086,4209.544,99634.37,78822.87,82551.53,8868.815,12919.37,6435876,71699.58,7294631.5,557812.06,458712.12,297782.2,1020908,56961.82,2498.9924,76227.89,3142.8164,21930.24,47985.76,1693.4852,732406.6,46282.477,117664.21,3084784.8,66231.71,5623088.5,256339.9,5553.913,149677.72,589520.56,560016.8,95851.484,126511.97,447336.56,19961.361,141837.97,401165.75,34368.785,11774.023,49688.16,10488.194,5035.7627,11689.182,27804.783,4084.2397,7782.7705,15089.593,2276.0366,17837.736,98212.055,2269.0774,1709.3826,45133.715,2591.1646,16054.8125
PI655988,354.00745,1225820.8,5617.283,7567.438,94872.67,1187.3503,3193.9065,3265.3496,13169.612,3265.3496,2318.1733,6929.7666,118604.37,23220.914,84185.87,125262.6,85337.875,23093.43,12592.1455,6014827,144827.1,10164533,431483.1,768145.4,70670.85,602542.8,46655.11,1365.8213,46657.9,632.1132,58321.78,9729.769,685.5436,1026579,41822.54,88161.13,4812176.5,42879.19,4664296,350296.3,365550.5,22407.031,455980.78,414921.56,28585.672,37964.72,277521.47,11841.271,218427.19,468364.56,18326.76,6983.2603,20946.164,14435.522,18670.463,22950.482,18060.37,9886.896,1611.4773,28991.625,18190.248,14862.803,52094.613,1375.8749,963.9962,56810.484,4817.857,7567.438
PI533759,196.4937,1676315.5,5507.4434,6800.317,57547.293,3786.5913,26725.965,3186.1792,16940.76,33054.914,5992.734,14189.109,104188.46,43484.484,146569.4,76715.59,90297.36,3713.0273,31204.684,5470669.5,58398.41,10905664,1142107.1,1470114.4,86511.945,1439569.4,208880.33,5702.7607,45104.11,8117.2847,58265.21,19463.762,2610.1458,764175.8,50227.418,70066.53,4019105,124614.96,7798674.5,570709.6,21123.002,28465.191,359997.28,1458054.4,21252.555,51020.766,548172.06,14495.132,236328.4,516706.5,4065.459,15064.229,130317.41,2860.3545,6037.723,5898.362,33714.117,3936.1257,3402.1323,54984.22,4429.256,17836.484,75224.414,1133.9268,3658.0034,54420.08,8113.6313,6800.317
PI656108,62.041573,2704017,28797.105,36568.86,108812.54,803.516,6799.133,963.24146,34591.11,4407.1523,24116.516,16014.656,52853.47,99515.46,92931.91,90483.86,50415.062,16766.094,36082.25,9451417,256623.78,11538558,758386.7,10009.734,524867.2,817465.44,1445.7964,1036.252,41202.01,2203.8904,39986.805,20493.01,2054.21,878899.7,64261.465,261567.92,6350505,36993.703,6407595.5,991363.1,263.65146,459580.72,321281.78,450561.34,344900.12,13017.946,312495.9,15354.504,434291,934169.94,8609.964,2994.3945,50926.58,5963.668,1110.735,22264.953,66458.75,8164.8486,23433.125,58814.133,3124.1367,3506.8818,31044.04,173.02443,278.466,1330.5505,2839.696,36568.86
PI533799,594.00507,2711371.8,9546.983,25840.662,168398.6,531.9048,20081.137,4446.1104,30825.307,24448.607,4130.8193,17679.96,130297.59,100495.23,101747.69,42389.387,94185.31,11828.934,31097.219,5065920,171266.05,15175587,1412724.8,16808.293,502712.9,953091.94,5778.239,1011.1135,37214.2,8524.935,87807.86,12571.861,1221.2339,349717.22,13817.167,260856.38,6586680,55658.023,7235300,704340,213.09375,104904.555,312782.88,811385.2,328355.56,23577.557,712446.3,31788.71,587599.3,932157.75,19570.242,3551.0317,86079.414,9415.9795,11648.079,6458.4326,47696.26,12112.981,9952.301,71648.25,5046.975,2738.9849,62125.69,1677.9592,1952.3894,72912.13,1166.1041,25840.662
PI533901,95.09703,989955.1,1425.6334,29239.527,66229.66,2343.9849,21265.781,2592.3638,20242.941,2592.3638,5331.0317,20724.383,157575.84,43732.297,73457.22,69952.234,79900.68,13162.346,16571.383,11321554,162868.89,4540107.5,184384.31,366151.9,265070.94,593643.7,11697.694,1512.398,83010.21,2319.2407,68541.21,34941.996,1739.7435,1749118.2,145466.45,203167.44,3993029.2,35111.902,6683170,522899.53,544154.9,121332.04,560151.75,370874.78,52878.82,154504.17,536645.4,2906.7927,419783.56,658329.7,25921.373,4129.3647,15293.605,4234.9595,24179.256,14201.833,36286.27,4384.5366,9348.966,17881.969,24891.492,22202.334,40083.664,6602.5825,3013.0764,72150.96,2359.5923,29239.527
PI629040,868.99945,1488440.5,2089.2183,43196.152,182537.61,18057.143,12042.161,71701.336,15159.102,60253.23,27408.084,17798.918,158541.84,2592.5403,120380.37,95650.14,180044.92,36070.49,42364.043,14133422,44933.85,17738662,1614688.9,2071174.6,97460.1,1625536.8,93544.35,6681.5117,90313.516,8373.693,118795.47,33552.74,12065.437,2008984.6,29183.156,29183.156,13067006,67994.58,8766686,244583.77,449708.44,16279.227,448354.78,1014453.9,8582.185,86642.484,882109.7,15509.574,239803.94,645192.1,35874.285,17137.773,53492.875,16746.996,8016.001,15033.517,40516.906,14579.414,9754.986,57274.594,10140.669,2154.1736,30550.621,2167.688,1521.8573,67647.65,3126.4177,43196.152
PI576426,132.7059,1551038.1,13598.94,7152.1562,95164.47,273.49054,4563.578,6429.6304,10096.848,1955.2966,1000.9508,8971.307,73332.69,25794.637,31780.133,50887.883,27599.285,7306.0205,3281.0044,2708931.2,101661.34,6048181,1150402.9,17004.514,210994.97,399862.88,30732.504,125.29054,19971.203,513.16907,40975.82,24130.365,1245.8601,274580.28,13860.152,122903.305,2095036.4,35269.613,2727334,194142.6,197973.9,28399.94,190029.61,309171.62,17729.22,20221.781,240804.14,22060.826,69407.12,245332.44,14554.339,1883.955,6157.4385,5773.276,8529.589,1632.4384,24194.385,559.28864,1218.9253,27509.97,1088.5254,4630.477,57823.95,1468.9087,1774.576,37754.914,869.411,7152.1562
PI533996,579.7777,3275527.5,12049.013,144370.4,273454.94,2994.9692,31076.383,2219.2932,10901.869,18921.477,11215.328,2889.8335,153071.25,123490.27,49891.348,150972.73,124348.42,25590.332,57212.477,11015464,57436.113,10312552,660536.56,17151.793,1333032.1,1076034.2,25422.824,2795.1655,80427.555,2481.2341,74209.89,37010.82,1863.875,1489958.4,22218.012,128538.734,10596732,50512.13,5529629,490898.5,145364.22,513529.3,586687.44,603663.3,76127.17,9763.097,448273.94,17271.951,531840.4,502221.7,29145.955,2584.9707,50380.31,4282.2773,23052.895,36203.703,45181.938,3613.266,9404.862,33390.094,3462.3047,1306.8389,50959.637,1300.5078,1003.2912,6795.342,1877.9377,144370.4
PI534047,680.7522,1934958.8,2515.872,109777.266,84638.18,9163.216,20695.514,1286.178,1463.6881,1116.8049,3515.312,11584.644,102608.695,1565.8123,257128.25,126801.03,62468.297,1263.124,8063.9106,10446051,87133.07,3199803,433707.8,325636.78,92329.48,81893.266,10350.351,404.9856,77485.77,35814.043,40450.707,33684.668,1391.2085,2554747.8,126700.42,19283.453,3262933.5,17151.008,835565.44,17693.816,64045.258,10501.214,258470.33,108534.5,1254.5167,22280.543,160253.64,2041.7449,31819.898,101059.89,1850.3071,4306.5107,1419.0177,4883.913,12493.2295,12628.239,6492.945,2753.0215,3850.2368,1396.855,3130.5913,1098.1245,34113.24,201.67429,262.25165,3883.8218,1513.6244,109777.266
PI552861,117.248566,881386.56,2676.5366,21777.543,156745.22,6877.4224,4201.461,10189.738,17486.764,10189.738,1731.9102,1636.9929,175363.16,32674.943,112636.64,88377.47,86841.66,3324.263,22855.959,3289125.8,36749.96,7052253.5,1422781.2,1636537.8,116408.39,1036275.3,236379.7,6994.181,50317.29,5584.1626,55692.504,50013.508,2365.548,376946.4,26281.78,89004.53,2800848.5,151017.64,6795914.5,778312,11191.838,44916.414,281735.2,1102895,70436.45,163804.61,665575.3,15144.651,185516.7,611004.5,4679.778,11467.072,56939.645,19703.225,40387.273,15847.535,44199.473,7259.54,2145.9358,113259.31,4911.6665,17589.324,64065.824,1332.8083,5887.1895,88666.4,4184.1953,21777.543
PI656054,190.63048,958051.2,2251.8362,4034.4434,48752.363,11144.874,17979.848,52216.676,36167.504,31432.8,61497.34,5430.584,299531.5,28167.79,203018.97,146868.02,209052.27,11986.425,102328.12,12607004,96135.9,29289624,3127587,2993982.5,750107.75,2111105.2,268491.06,52078.53,129394.81,33369.793,150896.34,132665.03,20768.445,812635.56,48804.426,67689.46,3593731.8,229822.02,18759380,494203.44,25740.281,59891.977,440525.6,1583608.8,15717.08,126449.266,1371066.1,43783.84,364059.72,1051203.1,3278.392,26156.617,109669.914,6920.744,80199.87,24706.098,72578.92,11447.916,13387.052,188868.89,3548.0366,39738.332,151848.08,16288.644,18371.84,105197.63,14047.498,4034.4434
PI533852,219.21796,1826010.4,10504.889,8768.783,66934.27,1876.1472,29233.32,980.0034,5113.956,5113.956,7409.619,5829.2026,124033.69,63525.477,88745.69,110782.414,58484.215,18267.438,39786.95,9235741,262754.4,11829460,699443.2,23437.932,724273.1,519336.16,3423.3547,1404.3533,49304.258,1520.5428,64765.06,20345.09,504.75616,1043338.44,94371.69,310340.94,4950217,40768.65,7246572,422111.97,0,571757.4,356655.6,436486.12,457049.2,2926.08,475842.5,11160.168,673337.8,941010.8,9715.291,4251.8647,42148.082,3831.792,9405.733,12975.6045,33475.176,2575.1465,33240.26,10633.249,830.1594,5472.135,32089.164,76.41931,74.47904,735.95935,195.03645,8768.783
PI533824,98.683,778442.4,564.34015,104533.39,422637.1,24982.703,12559.409,31383.732,14977.22,46637.457,29781.922,19084.658,202419.19,3140.6094,71262.66,114767.14,127484.92,29358.484,40991.562,7446156.5,81109.56,24385948,1159795,1158472.5,90780.47,816973.75,77823.67,5603.14,54557.324,18727.824,147995.33,36119.31,2181.466,1213465.2,10913.344,17205.838,7841745.5,49063.926,6936723.5,190528.4,190528.4,10993.79,237663.78,829361.6,24580.842,705368,849585.3,36511.98,38815.773,630418.5,19512.639,11374.167,38922.973,4088.046,4876.345,40335.887,81139.74,5833.621,13068.716,95063.92,3722.7197,15770.366,108919.27,3530.774,13360.453,281834.2,3049.278,104533.39
PI655970,0,1418966.2,3996.0647,2705.5083,38961.02,29566.2,19642.885,96372.48,46061.566,23022.904,61154.47,21497.957,312246.8,28871.865,193716,303925.3,203004.53,38250.234,165179.9,5859681,91251.16,34750716,2373682,1002245.9,123943.66,3565253.8,217838.83,106245.71,182583.34,33196.88,225117.6,144769.88,17682.742,2381869,34354.516,899694,18558630,227096.36,14264856,466692.06,1681.0823,157803.8,1070575.6,3433855.8,168858.02,117901.14,2308966.2,40781.8,681908.56,1691154.5,128839.64,53689.668,527726.8,39136.5,225388.38,111930.34,319853.75,4455.821,32554.322,284342.4,13753.152,64926.73,151597.42,17139.23,19519.596,254280.05,7406.696,2705.5083
PI656073,49.5764,1099803.1,4815.2563,1415.8381,38378.344,33611.67,20240.938,3448.8757,23415.176,21973.143,37172.605,35149.91,328255.22,73355.72,142603.9,132072.72,191245.77,44438.734,105648.5,9030107,137685.12,28634300,1412060.9,1216873.9,196161.5,1478441.6,199155.03,46797.19,138154.73,19109.855,146170.72,85656.27,15090.846,2102518.2,17671.89,212059.23,11069034,139425.2,10450230,332574.12,332574.12,42784.74,392087.75,1793737.5,45660.43,29219.46,1117275.6,34814.703,545567.06,1173660.2,23170.576,23787.334,192238.97,19317.584,71816.77,100448.36,83205.28,3390.5156,5088.0225,156918.66,20221.707,35777.555,105300.21,15573.479,5959.4053,231643.94,5362.3687,1415.8381
PI564163,634.9456,1119952.4,961.8788,53704.95,308036.03,918.87354,4914.4575,9139.749,43525.465,13527.523,27190.203,13155.146,295946.25,49267.668,114920.7,165440.66,146752.86,5827.195,45729.703,9887370,90399.164,19952840,2131907.8,287956.1,502414.25,1420128.1,57438.832,8129.7095,132878.53,4895.784,177221.84,198078.45,18662.342,656493.8,18833.947,177301.23,4369985.5,123393.59,14491313,1826135.4,1636006.8,25851.982,334818.47,939824.44,37330.688,26190.623,1024525.94,24094.426,261202,802013.9,2215.6223,17755.217,48619.844,6738.5493,73412.18,23893.715,56133.13,916.59546,2581.4082,125765.6,3206.5186,19174.936,125969.27,3486.1567,2218.362,121893.96,5538.756,53704.95
PI656018,533.11633,2776985.8,11626.425,81878.805,192217.33,6016.4062,27296.908,496.9322,9280.197,9280.197,7745.621,2343.1863,138638.11,137251.67,88571.38,78283.266,64279.348,13714.16,33996.188,9345758,133095.1,6930899,770256.8,10183.039,1182076.6,1054652.5,3534.8965,1383.9092,48177.86,1096.643,47123.383,9434.806,1598.2092,766593.1,122781.3,234063.47,5134897,44586.67,4830971.5,786249.4,80.603134,276814.34,380812.94,445354.12,87293.11,8467.142,333778.84,36884.344,412877.28,489344.53,15238.528,3332.667,10224.461,4660.584,15835.164,12638.137,13865.897,2748.307,3080.6208,4566.603,6229.3237,3629.786,75335.94,636.2175,961.80725,1524.304,1326.0836,81878.805
PI533986,89.102745,1539606.1,5617.011,26331.34,37067.273,978.4248,9112.003,926.0178,2149.9683,2149.9683,24058.697,13637.326,111990.11,30084.656,129575.42,54012.71,42410.555,19424.074,20301.395,3744641,388006.16,8033155,604101.6,39325.117,607163.25,1165828.9,16312.31,1312.5532,72882.984,1665.2487,40487.305,3671.6016,1223.779,1252531.2,38756.535,234885.25,4567760.5,72783.79,3032330.5,13433.472,137.36139,824866,565892,497661.3,369911.38,8642.544,374899.7,13806.312,451019.47,243794.61,14694.718,14090.33,7202.892,5751.2266,17448.06,18253.875,20809.719,4192.68,6920.833,3022.1238,1588.3038,1860.3596,48269.01,69.981415,100.203064,491.89178,641.6476,26331.34
PI655990,452.2462,3559373.5,41938.504,57167.395,165283.9,2508.0142,5935.154,3097.9902,8644.832,16414.412,1719.5911,17770.684,129769.02,49837.793,149408.86,124238.625,82213.945,17486.613,40994.906,7222697.5,731686.7,8629611,647213.3,43570.887,606003.8,536778.6,4409.491,3144.0347,59869.82,1998.7026,52831.61,7449.6914,1756.3961,1101093.4,18363.006,315881.38,8722684,29686.648,5446152,140087.33,114.16509,529695.2,506664.44,464072.78,463810.16,4889.7944,479971.84,12957.604,816752.7,582337.5,10852.177,2657.0261,54597.996,2877.8525,10445.707,19154.973,43738.37,2846.5356,9611.871,17163.404,1405.7815,1303.1838,32033.809,187.10333,246.91493,770.26996,623.4706,57167.395
PI533788,321.02454,1169697,4175.273,62127.55,113848.914,3510.7236,16905.31,2021.3157,12179.619,2241.8762,2319.2798,16155.0625,109490.24,40526.074,33410.508,103321.64,52183.793,6545.5435,6354.3145,7073768.5,131625.64,9190491,694516.2,14551.982,260262.73,425314.78,22873.857,911.2788,60445.797,1601.6859,59200.242,42388.074,1035.6259,1373409.2,121597.445,85735.65,5202850,24849.38,3280101.8,131091.55,131091.55,76221.375,432104.44,244906.02,13517.587,10695.829,268496.9,11952.373,185960.88,354361.03,5857.2656,7843.8213,13924.095,10664.874,21738.27,15057.236,26393.818,6484.5425,863.29755,3122.251,1110.4584,869.74554,35545.895,568.64886,1046.1271,2434.7283,768.5408,62127.55
PI656092,481.845,1587554.5,25046.99,39969.473,236153.77,992.3897,20164.998,16613.57,14641.898,22554.678,6327.1494,12350.013,118146.125,16543.295,109878.336,72590.33,79379.19,2094.6196,22098.592,4698410,112931.38,12686670,1586931.8,26451.07,595810,1777843.6,241373.34,7705.808,45004.434,9844.301,88445.55,46354.277,1753.1398,446315.34,38090.414,92057.5,3504449,134730.27,6464310.5,1333015.5,17172.99,48130.676,494434.94,1063124.4,34218.586,42243.92,574343.2,17935.127,167062.23,705758.6,9972.8545,12575.504,114256.46,15201.39,9403.472,7181.8447,72157.1,3188.584,1406.853,62498.426,12142.598,16727.326,70699.47,7802.954,12290.188,62353.65,8750.111,39969.473
PI534133,408.75058,1857622.5,6611.604,140337.31,283749.34,661.68567,1719.6741,4339.134,17750.135,2402.9856,20017.264,14442.939,163945.4,34808.45,231331.17,54740.16,135258.44,2000.9751,21870.084,4660686.5,83484.89,8815280,775044.25,565660.3,88903.02,719104.7,67478.14,5355.6367,66635.75,1905.5032,70831.86,43402.863,2177.8281,842946.1,17977.998,41473.375,3372941,43134.703,3046494.2,387885.4,25272.328,70905.38,514944.06,267334.34,39759.633,7635.376,310458.2,13987.178,272100.66,254401.48,12190.221,1899.3423,4416.6436,8198.003,7362.5166,13615.371,21486.816,7161.348,15798.165,11375.464,4324.907,3177.2766,48937.24,1165.1896,3026.9238,9816.529,4957.222,140337.31
PI533936,258.43607,1345556.5,2783.1008,12697.223,47236.586,28022.098,41913.348,8611.287,18860.045,8611.287,6776.101,22072.402,201528.69,4003.7603,102892.01,121315.586,89566.37,29843.227,75282.81,11649480,21031.898,13542573,2486428.5,742896.94,142048.58,2018079.5,129404.13,2388.5107,84904.9,11889.336,115594.06,16809.055,11173.003,3586755.5,71814.375,30719.73,12114186,85653.32,6614022,566449.7,54405.547,13158.809,355121.34,916680,15053.865,55603.668,854661.8,17747.588,64458.31,631783.75,22653.836,27350.059,84760.82,33140.535,3248.5842,59996.33,62073,11624.183,2923.3433,88114.51,4607.228,15506.776,55350.492,2700.9763,1557.7223,120170.59,4778.1494,12697.223
PI655978,323.25543,2050543,5072.7363,118822.195,396000.88,678.3696,15986.788,12021.849,5440.2627,16500.8,14038.011,7222.069,184681.81,38117.17,68547.13,63113.363,79416.336,13870.964,26224.225,6848043.5,135890.73,12027583,414469,702308.56,374591.12,851971.5,70383.555,1842.1656,99945.85,1038.4473,68748.25,44516.766,9670.918,1252097.1,50418.39,69416.766,4016789.2,63481.04,5282257.5,676346.5,697527.9,12300.6,456884.8,534472.25,8732.055,19881.375,405666.78,3632.1416,207618.61,382730.88,21975.037,8141.076,42625.383,24754.191,20321.822,3922.1982,39695.484,1673.2432,1601.3942,12795.549,7374.2363,18411.865,55074.67,898.1006,1084.0673,70144.76,1665.4495,118822.195
PI576394,167.57037,1396140.1,19902.135,7763.8433,36712.062,2677.2842,3117.4128,2976.069,8155.209,3087.1877,3444.3262,11648.226,67023.89,22207.174,60941.59,63319.227,55695.918,2667.7458,10508.611,4392160.5,109902.586,5332824.5,985374.5,505187,202324.66,561776.1,28257.324,507.27518,13515.031,624.0153,39706.836,34388.65,2371.2288,531750,4351.25,104128.586,2085348.9,37987.164,1959303,192290.42,192290.42,16420.814,174351.22,296365.9,10134.307,57245.08,178789.62,9750.856,57533.01,181497.69,5206.535,2016.692,13393.957,19327.988,6172.9614,12867.095,33764.914,2106.8704,1808.405,19102.791,1590.1697,11733.32,44129.832,806.8286,646.0182,5030.219,949.72437,7763.8433
PI597957,101.77156,1398109,5546.3916,15795.519,44332.48,158.42041,3917.4482,385.05804,9817.75,12930.915,2272.9768,548.04205,3887.566,6928.317,54046.004,48529.277,5585.1562,2968.1023,4130.106,2516363.5,25113.924,3196310.2,137975,21310.246,387466.66,288627.12,3315.7632,629.975,19059.482,200.93321,29662.03,1641.3557,494.29962,378469.34,17380.34,777187.7,1078571.9,21810.318,1779722.8,5090.4434,5612.8955,200076.6,157530.88,292752,156624.98,2666.6157,195060.48,4157.7036,143441.28,140662.73,3681.6006,2265.32,14328.931,3906.166,10963.515,6898.959,15009.09,4535.686,3893.3953,2614,6741.1396,981.4332,30803.275,0,97.74606,21411.287,2467.5498,15795.519
PI574455,264.80792,1543176.5,4546.551,20699.133,66874.74,900.42017,6374.659,6038.268,19882.97,20550.326,2800.589,19631.648,170696.84,25111.758,86236.37,104121.29,92249.36,14141.155,30309.564,6617347.5,29693.229,16698541,2314644.2,1859749.5,550482.94,1586655.5,170921.61,8811.814,48395.906,9834.118,78727.266,23328.234,12522.001,903160.9,17427.127,150066.27,2672487.2,110624.87,7013664.5,599279.4,14867.656,51623.797,418428.16,1218925.8,37349.277,190062.38,649397.75,24427.01,113268.68,625445.8,59112.367,15909.793,102679.945,18875.076,6129.719,9338.198,47728.38,5087.328,11412.572,59783.59,17960.7,16960.502,76646.836,4451.3813,1872.0352,58879.56,5603.359,20699.133
PI656117,138.27525,1273054.2,3553.818,72320.164,183418.8,11440.361,9901.021,9478.575,21713.844,9478.575,33951.035,28969.135,294063.44,5446.782,139109.5,82679.52,90405.16,25820.504,28559.512,10132671,93479.45,16309303,2422977,1819996.6,52846.746,1332734.5,48515.887,2104.3718,63527.02,56180.2,55286.746,134290.61,16348.778,2463714,118934.99,59260.35,10282731,58717.137,6669680,571491.9,57836.273,6720.9785,415900.16,1108893.5,9985.531,174308.1,952631.75,20611.408,66229.66,633308.9,53984.973,12603.534,50543.605,15770.49,21387.348,28716.25,25963.041,25840.373,10853.035,38530.824,50969.797,2563.461,57010.254,3398.5427,4868.3003,93421.87,1693.1498,72320.164
PI641824,164.80534,1286527.4,3702.6082,1287.8918,97959.12,10800.386,11804.145,39146.895,35817.387,52061.7,24926.42,4373.1025,225642.83,9131.93,266534.5,197286.42,149729.81,5792.174,98547.36,7399674,32925.867,20458376,655397.5,41617.72,266631.8,2162836.8,170843.45,53625.33,139333.12,23651.893,147644.53,44117.47,24088.268,850769.25,30019.588,142723.83,9796007,269382.3,23111858,475363.47,39832.625,82401.36,761043.1,3667594.8,123486.38,320251.8,2796427.2,62682.625,399907.22,1594913.1,8526.615,38823.246,294199.6,53147.24,187972.73,29941.018,154722.73,2479.3645,15507.862,255178.64,4921.709,38852.36,167317.06,12012.664,7990.5264,77140.24,1412.3965,1287.8918
PI655986,445.1046,1478920.1,1489.2112,156567.86,223614,2547.515,15858.423,944.6669,14826.77,1583.8882,24693.514,16340.839,147677.06,12245.527,53617.44,257473.06,89066.2,19066.793,6266.8076,15247323,151571.8,8681454,791672.44,509740.53,344809.1,615838.44,50611.996,907.24915,181135.56,1432.6925,75735.8,12146.825,3405.2576,2146504.5,11554.688,177585.55,2649393.5,40044.15,2027217.5,310429.12,21605.291,30219.1,445498.25,224552.11,4211.1807,6741.828,213253.6,9730.031,221591.36,141313.81,2470.5493,1573.0404,3011.3074,7519.527,12791.928,15339.726,9034.455,5295.2393,1143.5728,2488.2637,4211.0254,1690.6245,38970.164,423.52884,721.3989,3301.3066,958.0257,156567.86
PI533752,116.79275,1672348,16216.137,39463.45,35255.844,5918.785,34645.934,5325.5654,17443.084,3150.8413,2113.8926,1623.6338,146417.23,69722.625,61476.465,212390.52,60804.504,12202.521,12123.232,19873254,295888.44,4306275.5,405574.9,372318,63106.734,547694.4,24795.246,751.6951,153276.3,556.83386,57398.84,33808.023,3615.2017,1791258.8,70239.266,25943.092,3766859.5,32703.396,1553032.6,196575.38,2339.3188,83921.03,316690.8,144461.14,23393.312,10678.859,135656.97,9336.721,181123.44,67235.266,3585.6997,3861.267,981.1199,6908.039,9736.215,6908.039,17539.434,10219.908,3327.1316,2851.5012,5109.3867,1232.4172,35086.492,598.0865,638.18225,2723.9988,990.2128,39463.45
PI533789,109.55298,1117216.6,6144.802,32151.137,75285.63,2144.2695,20628.549,11467.447,13614.447,11467.447,4199.912,20362.836,238297.53,13198.035,91201.45,61269.824,58651.56,6282.8413,1867.4509,10283568,159371.48,13258278,2236382,947816.5,211440.95,994091.2,40782.88,2559.0776,94628.23,970.3225,51037.344,39189.9,3644.025,1313056.1,43693.91,60533.332,3986533.5,71635.336,6011791,165002.39,165002.39,33056.98,223594.47,512407.8,22232.432,102180.04,404845.2,12047.457,224563.92,310956.2,8321.488,14774.02,54802.906,5573.1655,16045.831,26426.432,39228.062,2977.1873,7829.738,15745.675,2515.5642,17473.076,59097.863,3364.168,1533.0535,89371.83,2500.3096,32151.137
