,PC_18_2__0_0,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2
PI576434,108.74681,5933.9526
PI656061,227.37398,5174.665
PI656032,158.70743,5047.553
PI656069,135.9113,2474.0117
PI656108,284.92917,27559.504
PI533788,130.12302,7984.8613
PI655975,606.8612,5402.8125
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_414_Check_17_Rg132to1500.CE102040.FLO22.S1_Run775.mzML.Peak.area,883.3855,5485.151
PI656043,258.77716,2498.7583
PI656106,6720.5713,15590.588
PI533979,284.13733,3191.8801
PI533759,459.45245,3504.5068
PI533800,432.46716,3790.1501
PI656055,428.91357,1064.6467
PI533972,136.5174,2794.3613
PI576340,543.39105,7809.915
PI656042,609.27246,42133.414
PI607931,776.646,3166.7612
PI595718,171.21698,1774.75
PI534075,6686.074,71582.875
PI656077,158.82777,1062.4337
PI655979,387.8038,2302.7524
PI656081,488.64142,7986.475
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_80_Check_2_Rg132to1500.CE102040.FLO22.S1_Run128.mzML.Peak.area,189.01324,3772.5293
PI533838,90.014435,1094.6714
PI641874,550.0895,12901.418
PI656023,519.29553,4167.6353
PI656010,267.86606,17014.771
PI576380,143.4231,5138.464
PI533757,648.06555,5106.718
PI597982,257.99982,718.5454
PI534138,2032.8223,11044.811
PI576366,118.972046,4293.49
PI566819,1054.6088,2301.6926
PI656079,100.25169,1881.593
PI656119,168.02074,898.3052
PI576364,8677.935,6293.5293
PI533754,159.43323,16808.664
PI533956,177.13477,4922.724
PI533961,519.1216,21654.594
PI533842,261.39523,8168.5786
PI656078,475.53998,1696.3994
PI597971,170.98868,2195.0154
PI533976,280.49542,9018.938
PI656044,265.003,2047.0212
PI534155,201.76492,2132.3389
PI656058,219.04959,3960.0566
PI656047,155.50972,7354.4033
PI655990,682.61505,7001.8994
PI34911,338.15793,16250.735
PI656121,283.6034,11030.53
PI656107,130.32707,1042.7083
PI656094,116.38747,1209.2903
PI656031,90.99112,2585.4402
PI533794,126.21457,1083.7174
PI656001,108.29614,7309.1514
PI533761,405.10895,11721.501
PI642793,142.97118,9604.91
PI533910,206.897,3580.6477
PI656050,187.35141,3875.1538
PI534124,146.89417,3628.9617
PI656100,656.6204,1759.9362
PI656103,218.11365,16163.108
PI533986,178.23845,5617.1826
PI656060,335.65457,2499.7295
PI597950,258.8115,2234.0793
PI656012,264.9259,5664.293
PI656016,8488.098,14332.961
PI601816,1714.9489,3542.1587
PI534114,480.39212,1469.0576
PI576437,139.8935,1352.4382
PI276837,208.79036,2522.5425
PI656076,260.72592,5088.258
PI533824,549.768,6278.0557
PI533776,216.42325,771.6774
PI655973,334.39343,3294.0686
PI585295,397.04202,4907.2666
PI561072,504.75568,1667.2598
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_202_Check_7_Rg132to1500.CE102040.FLO22.S1_Run354.mzML.Peak.area,231.80467,3024.2485
PI659753,291.40265,455.2932
PI533989,445.1268,505.01544
PI533769,105.99735,2577.763
PI576418,132.08087,18074.006
PI597964,652.4886,4330.7485
PI656097,268.0102,1538.5009
PI655977,5126.328,2529.63
PI597976,658.68713,36053.69
PI534099,109.23664,678.4911
PI548797,111.64206,18826.734
PI533938,4480.104,11826.913
PI656007,419.82886,5677.5947
PI655998,372.3291,3673.736
PI597945,209.33966,3990.1255
PI533980,114.425674,1695.7117
PI597980,301.875,4637.7153
PI576373,632.55853,2879.6167
PI656070,11516.953,18294.098
PI597973,235.96738,844.30286
PI534028,129.39453,3470.7407
PI659695,203.84235,6910.0386
PI574455,252.86559,1839.0181
PI552861,706.95056,2594.5596
PI534112,222.71829,11344.666
PI542718,1086.1051,1836.1731
PI656114,297.56754,6281.1646
PI533882,43945.94,22633.334
PI533912,304.80853,14612.407
PI597972,178.35115,3240.1099
PI656111,116.20978,2142.1616
PI655972,509.14612,4267.696
PI656033,423.09027,3100.8691
PI576332,207.56012,1395.5737
PI533962,148.69193,4472.137
PI24969,144.03427,4220.026
PI576387,259.8921,3926.2698
PI533939,2026.751,10747.712
PI656009,11696.613,3107.5886
PI533833,192.44035,3245.2998
PI576333,138.87021,16728.264
PI533985,7503.2485,4404.6855
PI533965,1508.0233,4468.4316
PI533991,478.1659,30217.365
PI655976,8579.575,20687.928
PI656075,710.83264,18431.066
PI655987,970.58167,1331.953
PI534132,269.13647,23003.797
PI656051,4380.945,4972.354
PI533915,129.64587,19584.938
PI534009,213.4827,4443.7173
PI576390,298.83984,1670.1875
PI595699,720.494,3344.9033
PI534145,118.661865,5591.886
PI576425,115.59073,4541.5654
PI595744,147.33911,2376.4307
PI534117,138.59834,5721.3027
PI656034,627.22974,6772.2656
PI533987,433.86786,41500.445
PI533940,794.63794,45086.582
